entity,baseline_clii,baseline_tier,nofreeze_clii,nofreeze_tier,tier_changed,delta_clii,scores_source,lic,trans,freeze,comp,sanc
Circle,0.92,1,0.9156,1,False,-0.0044,table_2a,0.95,0.9,0.95,0.9,0.9
Paxos,0.88,1,0.8738,1,False,-0.0062,table_2a,0.9,0.85,0.9,0.92,0.8
PayPal,0.88,1,0.8937,1,False,0.0137,table_2a,0.95,0.8,0.8,0.95,0.85
Coinbase,0.85,1,0.8656,1,False,0.0156,table_2a,0.9,0.8,0.79,0.9,0.85
Gemini,0.82,1,0.8313,1,False,0.0113,table_2a,0.9,0.75,0.77,0.85,0.8
BitGo,0.8,1,0.8156,1,False,0.0156,table_2a,0.85,0.75,0.75,0.85,0.8
Robinhood,0.75,2,0.725,2,False,-0.025,table_2a,0.75,0.5,0.85,0.9,0.75
Kraken,0.58,2,0.6006,2,False,0.0206,table_2a,0.65,0.55,0.5,0.59,0.6
Tether,0.45,2,0.3387,2,False,-0.1113,table_2a,0.1,0.73,0.9,0.35,0.2
Bybit,0.4,2,0.35,2,False,-0.05,table_2a,0.15,0.3,0.6,0.65,0.35
OKX,0.4,2,0.3562,2,False,-0.0438,table_2a,0.15,0.25,0.55,0.65,0.45
Binance,0.38,2,0.3375,2,False,-0.0425,table_2a,0.1,0.25,0.55,0.6,0.5
Aave V3,0.2,3,0.2094,3,False,0.0094,table_2a,0.1,0.25,0.15,0.35,0.15
1inch,0.18,3,0.1844,3,False,0.0044,table_2a,0.1,0.2,0.15,0.3,0.15
Curve 3pool,0.18,3,0.1844,3,False,0.0044,table_2a,0.1,0.2,0.15,0.3,0.15
Compound V3,0.18,3,0.1844,3,False,0.0044,table_2a,0.1,0.2,0.15,0.3,0.15
Uniswap Universal Router,0.15,3,0.1625,3,False,0.0125,table_2a,0.1,0.15,0.1,0.3,0.1
Uniswap V3,0.15,3,0.1625,3,False,0.0125,table_2a,0.1,0.15,0.1,0.3,0.1
Tornado Cash,0.02,3,0.0219,3,False,0.0019,table_2a,0.0,0.0,0.0,0.05,0.05
