entity,tier,total_volume,n_chains,chains,clii_effective
Binance,2,6185566433244.077,3,"ethereum, tron, solana",0.371
Jupiter,3,2497418420267.05,1,solana,0.036
Coinbase,1,1924738378038.364,3,"ethereum, solana, base",0.8489
Circle,1,1465127905961.1304,1,ethereum,0.92
Tether,2,1236428782345.0432,3,"ethereum, tron, solana",0.3973
Raydium,3,1040591008444.63,1,solana,0.03
SunSwap,3,627114175127.63,1,tron,0.03
Orca,3,624354605066.75,1,solana,0.03
Bybit,2,412775141224.3104,2,"ethereum, tron",0.4
JustLend,3,209038058375.87,1,tron,0.03
Curve 3pool,3,126279485542.24187,1,ethereum,0.06
1inch,3,62722005062.33883,1,ethereum,0.06
Uniswap Universal Router,3,23511006593.32967,1,ethereum,0.075
Compound V3,3,19458054685.45068,1,ethereum,0.09
Uniswap V3,3,6221950130.38033,1,ethereum,0.075
BitGo,1,2612324615.144169,1,ethereum,0.8
Aerodrome,3,25698617.948636,1,base,0.03
Tornado Cash,3,1784815.020097,1,ethereum,0.0
OKX,2,2137.389232,1,ethereum,0.4
Kraken,2,368.0,1,ethereum,0.58
Aave V3,3,158.67371,1,ethereum,0.09
Robinhood,2,100.0,1,ethereum,0.75
Gemini,1,21.337726,1,ethereum,0.82
