address,value_usd,first_funder,funder_total_txns,funder_classification,funder_nansen_labeled_pct,funder_nansen_top_cp,entity,confidence,source,evidence,behavioral_cluster,identification_exhausted,dark_control_layer
TNiq9AXBp9EjUqhDhrwrfvAA8U3GUQZH81,212826951,TCXLcoupSVwYrJK1x51vngpoELKUBRnhbu,37,"Balanced wallet (ratio=0.6, 37 txns)",0.0,none,,NONE,,,MULTI_EXCHANGE_OTC,Yes,No
TTiDLWE6fZK8okMJv6ijg42yrH6W2pjSr9,131229799,TYkdG6k1987mkfU5ZzYf9ZK3xi989jNMPJ,612,"Balanced wallet (ratio=0.3, 612 txns)",n/a,n/a,,NONE,,,MIXED_LOW_LABEL,Yes,No
THHiKCHNQKxrZiRy4rrqy5jitSP3nUvhJY,124534476,TX42iZ53BEWV6pFH7u4CpC6tPN3Y2ZbbJ6,182,"Collection wallet (in/out=12x, 182 txns)",0.0,none,,NONE,,,P2P_PURE,Yes,Yes
TFvuXyB7AhCV7jZcC9uukZDqrqCvsZQMJh,112826742,TMx8k9PvF6QDWrHuVgfRbbkoHAdibfQgLv,52,"Balanced wallet (ratio=0.2, 52 txns)",0.0,none,,NONE,,,P2P_PURE,Yes,Yes
TXGHxdYbGy574z5hBu4LNzq9NzjZQ9bhUf,108521916,TTCCA4AwGYATLJjULx86Hen3JiPMSLGer6,129,"Balanced wallet (ratio=0.3, 129 txns)",0.0,🏦 Binance: TQrY8 [TQrY8try],,NONE,,,CONCENTRATED_FEW,Yes,Yes
TRSKhXD5qSekLUxfwYxR1zA5kwTLhke2Rx,104603024,TQ4EiPiAuEfYDWx5P47h12k62zzDSNgtdv,364,"Collection wallet (in/out=16x, 364 txns)",0.4,🏦 HTX: Hot Wallet [TFTWNgDB],,NONE,,,P2P_PURE,Yes,Yes
TG2CMGxnTPgQ6V58kiKd7wbyN8ewtAmY76,100521646,TTd9qHyjqiUkfTxe3gotbuTMpjU8LEbpkN,0,,n/a,n/a,Kraken operational,HIGH,Phase 1A funder label,First funded by 🏦 Kraken: TTd9q [TTd9qHyj],UNKNOWN,No,No
TYAavN2xCDro5Gdip8UU6W9oQmM43rNxzQ,99556704,TBA6CypYJizwA9XdC7Ubgc5F1bxrQ7SqPt,0,,n/a,n/a,Gate.io operational,HIGH,Phase 1A funder label,First funded by 🏦 Gate: Wallet [TBA6CypY],UNKNOWN,No,No
TU72cTvdkWvoB7xgN5TXFtoXtUuWRuvUTm,85551802,TC8WxPjG7VDdeCK2FriRZwiPTFBayS9PHy,0,,n/a,n/a,BingX operational,HIGH,Phase 1A funder label,First funded by 🏦 BingX: Wallet [TC8WxPjG],UNKNOWN,No,No
TSUYvQ5tdd3DijCD1uGunGLpftHuSZ12sQ,84860525,TTgFYLvES6FtooX4cnNu1BB4uGeiNKANYE,321,"Distribution wallet (out/in=28x, 321 txns)",0.0,none,,NONE,,,P2P_PURE,Yes,Yes
TXNYeYdao7JL7wBtmzbk7mAie7UZsdgVjx,83733434,TYdt7MHoR1CenyYUdeCZ477oTfLHoLqWkC,15528,"High-volume receiver (14,969 in)",n/a,n/a,,NONE,,,P2P_PURE,Yes,Yes
TUrwLivTiwhSNwyhmY54aE8U6fnBnJTeeg,71977635,TAWSNgquwfFXWNKQ2SFrz3H1nwy1JERru9,1756,"Balanced wallet (ratio=0.5, 1756 txns)",n/a,n/a,,NONE,,,P2P_PURE,Yes,Yes
TVPQLkVXvN7MduHWhD4Q7rGVyRdDu5R8F6,68722698,TSCC14Y9nxdL4kLfbqwaUw2rX32n1sUpzB,0,,n/a,n/a,BingX operational,HIGH,Phase 1A funder label,First funded by 🏦 BingX: Wallet [TSCC14Y9],UNKNOWN,No,No
TSBuVDEiYtaHM6er5M72bYQod8S4YpPmAD,68629885,TB77yMb7b3irswyP9P1p93ne9cR3wtkkSR,188777,"High-volume sender (122,912 out)",n/a,n/a,,NONE,,,P2P_PURE,Yes,Yes
TR386F5mNUArRDPpTque5j152M5Tc4UKGv,68341185,TDKZstc2KE58d6kFQ4f7eCdk1xHhapJKBs,1368,"Balanced wallet (ratio=0.2, 1368 txns)",10.0,🏦 OKX: Hot Wallet TCz47 [TCz47XgC],,NONE,,,P2P_PURE,Yes,Yes
TYE5mNXSQHuPAdCa1etk76BKybD4FKJto6,66998386,TWs8Bw27gqtaT5Gcp9hugEw9x3ZM9BHV1B,0,,n/a,n/a,OKX: Hot Wallet [TLaGjwhv] operational,HIGH,Phase 1B counterparty analysis,Top counterparty: 🏦 OKX: Hot Wallet [TLaGjwhv],MULTI_EXCHANGE_OTC,No,No
TT5wKUeYLeGYDxUnGJuzQQfLdTY3W7v9Q3,64547728,TDKZstc2KE58d6kFQ4f7eCdk1xHhapJKBs,1368,"Balanced wallet (ratio=0.2, 1368 txns)",10.0,🏦 OKX: Hot Wallet TCz47 [TCz47XgC],,NONE,,,CONCENTRATED_FEW,Yes,Yes
TR9ahL7bk9jUKzgsEPdAhssYkKPW6T45N8,58587002,TQV6pEPGuyVxjUF6AJRtTELuaXaa9qLnoy,29268,"High-volume receiver (21,648 in)",n/a,n/a,,NONE,,,P2P_PURE,Yes,Yes
TTYR4Wt17FHd7NPow4KqohNbtp41cNvWL8,55428718,TYDxmfhXGGwHUaBqSckPQsjNi9MZjTWsn6,981,"Balanced wallet (ratio=0.5, 981 txns)",n/a,n/a,,NONE,,,P2P_PURE,Yes,Yes
TTr4STG8SMVrPafYZEvFjZoerPGFTD8vUR,55025311,TLQK6ms52x62CQqeXQXqDVGz5sZzyLPKLu,64,"Balanced wallet (ratio=0.7, 64 txns)",n/a,n/a,Likely Kraken: TTd9q [TTd9qHyj] related,MEDIUM,Phase 1B counterparty analysis,Top counterparty: 🏦 Kraken: TTd9q [TTd9qHyj],MIXED_LOW_LABEL,No,No
TGTsSX3L2BF7jcYW1695k63uTmU7YBVGQu,49987792,TFjoyxjuWCYu8QDKbJtEdUEL1CqYzWX6fB,118,"Balanced wallet (ratio=0.3, 118 txns)",n/a,n/a,,NONE,,,CONCENTRATED_FEW,Yes,Yes
TCtVtrdy8sSXGMx1QYUjMrAvau1pduC2Aa,49977534,TBEZnsq9dA2xXkjieJ4ppF3cidXPdSrqwE,884,"Balanced wallet (ratio=0.5, 884 txns)",n/a,n/a,Bybit: Hot Wallet TU4vE [TU4vEruv] operational,HIGH,Phase 1B counterparty analysis,Top counterparty: 🏦 Bybit: Hot Wallet TU4vE [TU4vEruv],SINGLE_EXCHANGE_DOMINANT,No,No
TKFuckiRGCTerroristsNoBiTEXy2r7mNX,49417092,TNxMBdZE7yCPhc88bHeS94deFJkqJDUpRz,4,Minimal activity (4 txns),n/a,n/a,,NONE,,,P2P_PURE,Yes,Yes
THDW2bQZicUiuJxkWHhtmva9b37JFWnMf4,48658528,TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS,0,,n/a,n/a,Binance operational,HIGH,Phase 1A funder label,First funded by 🏦 Binance: TYASr [TYASr5UV],UNKNOWN,No,No
TF7tupaDszUBmxdyKRAkQWBYGLkYRdQJGv,48600053,TJk8P3rEgR9o6TLqsGmnAavdcLf5obc5ig,572,"Balanced wallet (ratio=0.3, 572 txns)",n/a,n/a,,NONE,,,P2P_PURE,Yes,Yes
TRqtSahVi28Rfd1uEW5ap6NzFoGWDwDUyu,46129304,TFvy5DWWYQ61UzLgFXju5NyYyMxHeJa5Wh,1096,"Balanced wallet (ratio=1.0, 1096 txns)",n/a,n/a,,NONE,,,UNKNOWN,Yes,No
TYQc5j8AA3dBh17oDGv1fH2pGswofV3ArP,45899406,TQ1u4bKn4ao21ykT1GpCNvMNuw5M1c2x41,63,"Collection wallet (in/out=15x, 63 txns)",n/a,n/a,,NONE,,,UNKNOWN,Yes,No
TZ8Ksz21Hk1tQuztCKCUJBRXStCav9uyjM,45847406,TZD9u9UH1gug5TfcbsgCPeqyRPZ7BaMJqc,7,Minimal activity (7 txns),n/a,n/a,,NONE,,,UNKNOWN,Yes,No
TQWWJFsxPSiSwHKHq9kCbtZtjQqybCW7b2,45722246,TM3D4kdAdVhVzRwGEqcSa9jDnYpiteKKHm,703,"Balanced wallet (ratio=0.3, 703 txns)",n/a,n/a,,NONE,,,UNKNOWN,Yes,No
TWrmh883bEyEvcfiWDsyYBhDVbsQDn4cDK,45283439,TCRZeipZpb7eFMXTAoCVLKnh9uqE6gVxBC,140,"Balanced wallet (ratio=0.2, 140 txns)",n/a,n/a,,NONE,,,UNKNOWN,Yes,No
