entity,n_transfers,tier,volume_usd,week
Aerodrome,30,3,12874.543036,2023-09-25 00:00:00.000 UTC
Aerodrome,108,3,143421.153018,2023-10-02 00:00:00.000 UTC
Aerodrome,10,3,1559.937988,2023-10-09 00:00:00.000 UTC
Aerodrome,14,3,15818.555796,2023-10-16 00:00:00.000 UTC
Aerodrome,20,3,689.909076,2023-10-23 00:00:00.000 UTC
Aerodrome,4,3,153.725056,2023-10-30 00:00:00.000 UTC
Aerodrome,22,3,2099.69512,2023-11-06 00:00:00.000 UTC
Aerodrome,2,3,24.549238,2023-11-13 00:00:00.000 UTC
Aerodrome,16,3,8500.92693,2023-11-20 00:00:00.000 UTC
Aerodrome,4,3,31.154493,2023-11-27 00:00:00.000 UTC
Aerodrome,8,3,76.415988,2023-12-04 00:00:00.000 UTC
Aerodrome,12,3,356.441992,2023-12-11 00:00:00.000 UTC
Aerodrome,56,3,664.961752,2023-12-18 00:00:00.000 UTC
Aerodrome,146,3,1005.308994,2023-12-25 00:00:00.000 UTC
Aerodrome,250,3,20610.498952,2024-01-01 00:00:00.000 UTC
Aerodrome,168,3,3837.61618,2024-01-08 00:00:00.000 UTC
Aerodrome,212,3,4850.276938,2024-01-15 00:00:00.000 UTC
Aerodrome,262,3,8537.972584,2024-01-22 00:00:00.000 UTC
Aerodrome,154,3,3080.204986,2024-01-29 00:00:00.000 UTC
Aerodrome,280,3,6912.380548,2024-02-05 00:00:00.000 UTC
Aerodrome,280,3,8544.617888,2024-02-12 00:00:00.000 UTC
Aerodrome,198,3,4199.924436,2024-02-19 00:00:00.000 UTC
Aerodrome,92,3,1915.98462,2024-02-26 00:00:00.000 UTC
Aerodrome,82,3,2969.655974,2024-03-04 00:00:00.000 UTC
Aerodrome,358,3,9682.855596,2024-03-11 00:00:00.000 UTC
Aerodrome,632,3,13948.351548,2024-03-18 00:00:00.000 UTC
Aerodrome,802,3,10892.861156,2024-03-25 00:00:00.000 UTC
Aerodrome,3574,3,23350.835426,2024-04-01 00:00:00.000 UTC
Aerodrome,3478,3,23909.056222,2024-04-08 00:00:00.000 UTC
Aerodrome,2558,3,18458.729968,2024-04-15 00:00:00.000 UTC
Aerodrome,1542,3,14617.309952,2024-04-22 00:00:00.000 UTC
Aerodrome,1458,3,789471.326172,2024-04-29 00:00:00.000 UTC
Aerodrome,1104,3,3965147.225788,2024-05-06 00:00:00.000 UTC
Aerodrome,1092,3,1156389.575036,2024-05-13 00:00:00.000 UTC
Aerodrome,510,3,1575993.26504,2024-05-20 00:00:00.000 UTC
Aerodrome,350,3,4406.190106,2024-05-27 00:00:00.000 UTC
Aerodrome,408,3,316857.732184,2024-06-03 00:00:00.000 UTC
Aerodrome,480,3,926390.24921,2024-06-10 00:00:00.000 UTC
Aerodrome,170,3,538553.155863,2024-06-17 00:00:00.000 UTC
Aerodrome,254,3,1237214.17004,2024-06-24 00:00:00.000 UTC
Aerodrome,532,3,3723309.258496,2024-07-01 00:00:00.000 UTC
Aerodrome,254,3,1299.759804,2024-07-08 00:00:00.000 UTC
Aerodrome,216,3,1100057.021896,2024-07-15 00:00:00.000 UTC
Aerodrome,272,3,1705735.291654,2024-07-22 00:00:00.000 UTC
Aerodrome,1128,3,716942.010184,2024-07-29 00:00:00.000 UTC
Aerodrome,832,3,2907.451854,2024-08-05 00:00:00.000 UTC
Aerodrome,146,3,960149.506694,2024-08-12 00:00:00.000 UTC
Aerodrome,128,3,6082957.391048,2024-08-19 00:00:00.000 UTC
Aerodrome,218,3,2008.04012,2024-08-26 00:00:00.000 UTC
Aerodrome,164,3,821.768,2024-09-02 00:00:00.000 UTC
Aerodrome,144,3,844.291488,2024-09-09 00:00:00.000 UTC
Aerodrome,178,3,1338.924634,2024-09-16 00:00:00.000 UTC
Aerodrome,54,3,499.416244,2024-09-23 00:00:00.000 UTC
Aerodrome,52,3,754.698648,2024-09-30 00:00:00.000 UTC
Aerodrome,148,3,1172.452044,2024-10-07 00:00:00.000 UTC
Aerodrome,93,3,17790.138328,2024-10-14 00:00:00.000 UTC
Aerodrome,68,3,66328.265646,2024-10-21 00:00:00.000 UTC
Aerodrome,32,3,466.408196,2024-10-28 00:00:00.000 UTC
Aerodrome,73,3,33871.316076,2024-11-04 00:00:00.000 UTC
Aerodrome,22,3,617.264242,2024-11-11 00:00:00.000 UTC
Aerodrome,33,3,33173.954362,2024-11-18 00:00:00.000 UTC
Aerodrome,18,3,644.011016,2024-11-25 00:00:00.000 UTC
Aerodrome,67,3,34322.642432,2024-12-02 00:00:00.000 UTC
Aerodrome,33,3,33799.251128,2024-12-09 00:00:00.000 UTC
Aerodrome,31,3,33850.097112,2024-12-16 00:00:00.000 UTC
Aerodrome,78,3,574.552734,2024-12-23 00:00:00.000 UTC
Aerodrome,12,3,23.090358,2024-12-30 00:00:00.000 UTC
Aerodrome,46,3,275.988962,2025-01-06 00:00:00.000 UTC
Aerodrome,43,3,34021.24662,2025-01-13 00:00:00.000 UTC
Aerodrome,62,3,68703.732338,2025-01-20 00:00:00.000 UTC
Aerodrome,19,3,34484.856628,2025-01-27 00:00:00.000 UTC
Aerodrome,27,3,18363.553142,2025-02-03 00:00:00.000 UTC
Aerodrome,36,3,97.854508,2025-02-10 00:00:00.000 UTC
Aerodrome,42,3,227.65176,2025-02-17 00:00:00.000 UTC
Aerodrome,35,3,1373.498868,2025-02-24 00:00:00.000 UTC
Aerodrome,32,3,38.285286,2025-03-03 00:00:00.000 UTC
Aerodrome,18,3,26.508072,2025-03-10 00:00:00.000 UTC
Aerodrome,8,3,16.769538,2025-03-17 00:00:00.000 UTC
Aerodrome,82,3,616.020322,2025-03-24 00:00:00.000 UTC
Aerodrome,26,3,109.86522,2025-03-31 00:00:00.000 UTC
Aerodrome,16,3,153.313836,2025-04-07 00:00:00.000 UTC
Aerodrome,8,3,8.688034,2025-04-14 00:00:00.000 UTC
Aerodrome,2,3,5.405378,2025-04-21 00:00:00.000 UTC
Aerodrome,20,3,328.797762,2025-05-05 00:00:00.000 UTC
Aerodrome,6,3,16.31842,2025-05-12 00:00:00.000 UTC
Aerodrome,2,3,37.49652,2025-05-19 00:00:00.000 UTC
Aerodrome,16,3,281.36378,2025-05-26 00:00:00.000 UTC
Aerodrome,12,3,4.990416,2025-06-02 00:00:00.000 UTC
Aerodrome,2,3,1.520352,2025-06-16 00:00:00.000 UTC
Aerodrome,124,3,918.238422,2025-06-23 00:00:00.000 UTC
Aerodrome,8,3,168.594558,2025-07-07 00:00:00.000 UTC
Aerodrome,2,3,0.000824,2025-07-14 00:00:00.000 UTC
Aerodrome,4,3,0.599996,2025-07-21 00:00:00.000 UTC
Aerodrome,4,3,130.44204,2025-08-11 00:00:00.000 UTC
Aerodrome,56,3,1321.005162,2025-08-18 00:00:00.000 UTC
Aerodrome,107,3,2635.713422,2025-08-25 00:00:00.000 UTC
Aerodrome,45,3,147.055662,2025-09-01 00:00:00.000 UTC
Aerodrome,79,3,89.897566,2025-09-08 00:00:00.000 UTC
Aerodrome,175,3,876.00311,2025-09-15 00:00:00.000 UTC
Aerodrome,30,3,177.863956,2025-09-22 00:00:00.000 UTC
Aerodrome,143,3,1626.226086,2025-09-29 00:00:00.000 UTC
Aerodrome,13,3,131.90619,2025-10-06 00:00:00.000 UTC
