day,entity,n_transfers,tier,token,volume_usd
2023-02-01 00:00:00.000 UTC,1inch,907,3,USDC,34432129.263502
2023-02-01 00:00:00.000 UTC,Curve 3pool,398,3,USDC,99056953.935892
2023-02-01 00:00:00.000 UTC,Uniswap V3,42,3,USDT,472248.10763
2023-02-01 00:00:00.000 UTC,Tether,1,2,USDT,9816864.23488
2023-02-01 00:00:00.000 UTC,Coinbase,3531,1,USDC,422451860.544898
2023-02-01 00:00:00.000 UTC,OKX,607,2,USDC,23555717.300351
2023-02-01 00:00:00.000 UTC,Compound V3,40,3,USDC,14592153.687035
2023-02-01 00:00:00.000 UTC,OKX,2144,2,USDT,87729881.991395
2023-02-01 00:00:00.000 UTC,Tornado Cash,2,3,USDT,200.0
2023-02-01 00:00:00.000 UTC,Bybit,3016,2,USDT,51849744.814273
2023-02-01 00:00:00.000 UTC,Bybit,467,2,USDC,5977655.29696
2023-02-01 00:00:00.000 UTC,Binance,3364,2,USDC,1753140376.026449
2023-02-01 00:00:00.000 UTC,Kraken,960,2,USDC,96959116.324987
2023-02-01 00:00:00.000 UTC,Binance,15630,2,USDT,809327878.124826
2023-02-01 00:00:00.000 UTC,Coinbase,7508,1,USDT,200728170.050059
2023-02-01 00:00:00.000 UTC,Uniswap V3,268,3,USDC,2899067.729818
2023-02-01 00:00:00.000 UTC,Kraken,1613,2,USDT,128618627.760112
2023-02-01 00:00:00.000 UTC,Circle,1114,1,USDC,1327964686.265753
2023-02-01 00:00:00.000 UTC,Curve 3pool,316,3,USDT,98001401.436651
2023-02-01 00:00:00.000 UTC,BitGo,151,1,USDC,11073167.234223
2023-02-01 00:00:00.000 UTC,Circle,1,1,USDT,1.53
2023-02-01 00:00:00.000 UTC,1inch,697,3,USDT,16109636.712622
2023-02-02 00:00:00.000 UTC,Kraken,1004,2,USDC,113001688.565987
2023-02-02 00:00:00.000 UTC,Compound V3,58,3,USDC,6745304.681725
2023-02-02 00:00:00.000 UTC,Curve 3pool,358,3,USDC,101425200.395194
2023-02-02 00:00:00.000 UTC,Curve 3pool,303,3,USDT,100030507.061233
2023-02-02 00:00:00.000 UTC,1inch,741,3,USDT,33302348.883878
2023-02-02 00:00:00.000 UTC,Tether,2,2,USDT,0.0
2023-02-02 00:00:00.000 UTC,Circle,1033,1,USDC,779904101.987389
2023-02-02 00:00:00.000 UTC,Uniswap V3,64,3,USDT,1161576.669808
2023-02-02 00:00:00.000 UTC,Bybit,2968,2,USDT,41232811.526904
2023-02-02 00:00:00.000 UTC,Circle,1,1,USDT,108993.47
2023-02-02 00:00:00.000 UTC,BitGo,201,1,USDC,7823743.60267
2023-02-02 00:00:00.000 UTC,Uniswap V3,384,3,USDC,8695399.4577
2023-02-02 00:00:00.000 UTC,Binance,3562,2,USDC,576691510.987978
2023-02-02 00:00:00.000 UTC,OKX,1940,2,USDT,70956760.696256
2023-02-02 00:00:00.000 UTC,Bybit,489,2,USDC,17841435.390954
2023-02-02 00:00:00.000 UTC,Binance,16505,2,USDT,1040740154.79727
2023-02-02 00:00:00.000 UTC,Coinbase,3859,1,USDC,807791939.961017
2023-02-02 00:00:00.000 UTC,Kraken,1455,2,USDT,172571286.86942
2023-02-02 00:00:00.000 UTC,Coinbase,7789,1,USDT,168451681.268303
2023-02-02 00:00:00.000 UTC,1inch,1299,3,USDC,87202769.202866
2023-02-02 00:00:00.000 UTC,OKX,656,2,USDC,54595611.501301
2023-02-03 00:00:00.000 UTC,Coinbase,4041,1,USDC,4501826869.458057
2023-02-03 00:00:00.000 UTC,Kraken,827,2,USDC,96108876.230591
2023-02-03 00:00:00.000 UTC,Uniswap V3,36,3,USDT,412049.505476
2023-02-03 00:00:00.000 UTC,Uniswap V3,238,3,USDC,3488088.000772
2023-02-03 00:00:00.000 UTC,Circle,973,1,USDC,7292651065.231623
2023-02-03 00:00:00.000 UTC,1inch,1046,3,USDC,51758221.721672
2023-02-03 00:00:00.000 UTC,OKX,1785,2,USDT,73843316.094191
2023-02-03 00:00:00.000 UTC,Binance,2928,2,USDC,1763234863.267792
2023-02-03 00:00:00.000 UTC,Bybit,401,2,USDC,4033696.114331
2023-02-03 00:00:00.000 UTC,BitGo,47,1,USDC,21383428.907724
2023-02-03 00:00:00.000 UTC,1inch,648,3,USDT,55604468.969578
2023-02-03 00:00:00.000 UTC,Bybit,2626,2,USDT,27774395.073473
2023-02-03 00:00:00.000 UTC,Binance,14650,2,USDT,939604783.382572
2023-02-03 00:00:00.000 UTC,Curve 3pool,266,3,USDT,78852676.75376
2023-02-03 00:00:00.000 UTC,Curve 3pool,365,3,USDC,188105338.041876
2023-02-03 00:00:00.000 UTC,Coinbase,6298,1,USDT,205710185.012943
2023-02-03 00:00:00.000 UTC,Compound V3,41,3,USDC,1242436.288777
2023-02-03 00:00:00.000 UTC,OKX,558,2,USDC,80260970.882624
2023-02-03 00:00:00.000 UTC,Kraken,1377,2,USDT,166870094.778517
2023-02-04 00:00:00.000 UTC,Curve 3pool,254,3,USDC,68145721.448289
