entity,month,n_transfers,tier,token,volume_usd
Binance,2023-02-01 00:00:00.000 UTC,68265,2,USDC,25229471699.360023
Binance,2023-02-01 00:00:00.000 UTC,438930,2,USDT,23686692648.775696
Binance,2023-03-01 00:00:00.000 UTC,89268,2,USDC,45415830529.11683
Binance,2023-03-01 00:00:00.000 UTC,439963,2,USDT,46268271690.36923
Binance,2023-04-01 00:00:00.000 UTC,344565,2,USDT,21589717339.06053
Binance,2023-04-01 00:00:00.000 UTC,64191,2,USDC,12205910299.788733
Binance,2023-05-01 00:00:00.000 UTC,60439,2,USDC,8245459379.005831
Binance,2023-05-01 00:00:00.000 UTC,305932,2,USDT,20694072741.94688
Binance,2023-06-01 00:00:00.000 UTC,98173,2,USDC,12825588814.517197
Binance,2023-06-01 00:00:00.000 UTC,347782,2,USDT,31468172133.838158
Binance,2023-07-01 00:00:00.000 UTC,77837,2,USDC,9674743194.64706
Binance,2023-07-01 00:00:00.000 UTC,316560,2,USDT,18680744963.323578
Binance,2023-08-01 00:00:00.000 UTC,66338,2,USDC,12269735143.033056
Binance,2023-08-01 00:00:00.000 UTC,331724,2,USDT,26926291411.41497
Binance,2023-09-01 00:00:00.000 UTC,59830,2,USDC,10200023371.683989
Binance,2023-09-01 00:00:00.000 UTC,322580,2,USDT,17045741065.842413
Binance,2023-10-01 00:00:00.000 UTC,70590,2,USDC,15005620496.172855
Binance,2023-10-01 00:00:00.000 UTC,362998,2,USDT,20469951177.57581
Binance,2023-11-01 00:00:00.000 UTC,312454,2,USDT,26863096757.706448
Binance,2023-11-01 00:00:00.000 UTC,75138,2,USDC,18821397127.160107
Binance,2023-12-01 00:00:00.000 UTC,83726,2,USDC,21729357178.62216
Binance,2023-12-01 00:00:00.000 UTC,285947,2,USDT,34515455655.85531
Binance,2024-01-01 00:00:00.000 UTC,288837,2,USDT,34143585952.96245
Binance,2024-01-01 00:00:00.000 UTC,83015,2,USDC,28658525614.9402
Binance,2024-02-01 00:00:00.000 UTC,84273,2,USDC,23039230212.88925
Binance,2024-02-01 00:00:00.000 UTC,281111,2,USDT,39543140832.2339
Binance,2024-03-01 00:00:00.000 UTC,310104,2,USDT,59523691057.36199
Binance,2024-03-01 00:00:00.000 UTC,100431,2,USDC,42402103832.95095
Binance,2024-04-01 00:00:00.000 UTC,88478,2,USDC,42411474803.836
Binance,2024-04-01 00:00:00.000 UTC,274466,2,USDT,49892519289.89641
Binance,2024-05-01 00:00:00.000 UTC,257979,2,USDT,39989819629.555016
Binance,2024-05-01 00:00:00.000 UTC,79223,2,USDC,28255269599.838596
Binance,2024-06-01 00:00:00.000 UTC,69210,2,USDC,26716434002.52069
Binance,2024-06-01 00:00:00.000 UTC,255245,2,USDT,37398880877.58625
Binance,2024-07-01 00:00:00.000 UTC,228679,2,USDT,41112074728.39584
Binance,2024-07-01 00:00:00.000 UTC,96265,2,USDC,35309209761.95664
Binance,2024-08-01 00:00:00.000 UTC,102005,2,USDC,32716058549.42001
Binance,2024-08-01 00:00:00.000 UTC,232222,2,USDT,48044919972.50834
Binance,2024-09-01 00:00:00.000 UTC,96287,2,USDC,26224192323.696342
Binance,2024-09-01 00:00:00.000 UTC,214979,2,USDT,35968349093.25738
Binance,2024-10-01 00:00:00.000 UTC,222378,2,USDT,52946164315.86254
Binance,2024-10-01 00:00:00.000 UTC,106509,2,USDC,35876692061.33627
Binance,2024-11-01 00:00:00.000 UTC,265689,2,USDT,110269795916.37737
Binance,2024-11-01 00:00:00.000 UTC,135893,2,USDC,55144544252.47096
Binance,2024-12-01 00:00:00.000 UTC,282054,2,USDT,93529320674.41318
Binance,2024-12-01 00:00:00.000 UTC,160358,2,USDC,59442902055.80893
Binance,2025-01-01 00:00:00.000 UTC,172577,2,USDC,61869092362.760254
Binance,2025-01-01 00:00:00.000 UTC,244665,2,USDT,67445188750.2651
Binance,2025-02-01 00:00:00.000 UTC,226738,2,USDT,63293591451.53463
Binance,2025-02-01 00:00:00.000 UTC,167126,2,USDC,64993086904.58447
Binance,2025-03-01 00:00:00.000 UTC,241929,2,USDT,53117075813.96453
Binance,2025-03-01 00:00:00.000 UTC,191970,2,USDC,55116151472.7567
Binance,2025-04-01 00:00:00.000 UTC,245179,2,USDT,52478568519.68012
Binance,2025-04-01 00:00:00.000 UTC,261733,2,USDC,53417908122.20589
Binance,2025-05-01 00:00:00.000 UTC,254635,2,USDT,49397100336.80168
Binance,2025-05-01 00:00:00.000 UTC,283223,2,USDC,62645396329.50559
Binance,2025-06-01 00:00:00.000 UTC,278343,2,USDC,50285526773.96073
Binance,2025-06-01 00:00:00.000 UTC,248699,2,USDT,42551006586.16159
Binance,2025-07-01 00:00:00.000 UTC,319970,2,USDC,78396217614.66957
Binance,2025-07-01 00:00:00.000 UTC,298745,2,USDT,70788380908.22852
Binance,2025-08-01 00:00:00.000 UTC,55233,2,USDC,15527911873.196602
Binance,2025-08-01 00:00:00.000 UTC,329761,2,USDT,91286368940.8472
Binance,2025-09-01 00:00:00.000 UTC,354195,2,USDT,108157309397.97913
Binance,2025-09-01 00:00:00.000 UTC,8,2,USDC,20315.844202
Binance,2025-10-01 00:00:00.000 UTC,377139,2,USDT,100761863465.73866
Binance,2025-10-01 00:00:00.000 UTC,217,2,USDC,1078.346511
Binance,2025-11-01 00:00:00.000 UTC,102,2,USDC,10511.144153
Binance,2025-11-01 00:00:00.000 UTC,370107,2,USDT,73424090843.15356
Binance,2025-12-01 00:00:00.000 UTC,3,2,USDC,1381.749939
Binance,2025-12-01 00:00:00.000 UTC,386703,2,USDT,53005205865.42644
Binance,2026-01-01 00:00:00.000 UTC,480669,2,USDT,68633383432.03352
Binance,2026-01-01 00:00:00.000 UTC,10,2,USDC,2588.541096
Tether,2023-02-01 00:00:00.000 UTC,20,2,USDT,5074623786.511197
Tether,2023-03-01 00:00:00.000 UTC,187,2,USDT,15004948157.19
Tether,2023-04-01 00:00:00.000 UTC,21,2,USDT,2774737682.507197
