day,n_transfers,token,volume_usd
2023-02-01 00:00:00.000 UTC,102978,USDC,8831994481.206793
2023-02-01 00:00:00.000 UTC,180297,USDT,3983577706.594191
2023-02-02 00:00:00.000 UTC,180576,USDT,5114191323.831899
2023-02-02 00:00:00.000 UTC,117902,USDC,11263321607.643272
2023-02-03 00:00:00.000 UTC,156330,USDT,4355852957.087343
2023-02-03 00:00:00.000 UTC,91308,USDC,21174738679.67337
2023-02-04 00:00:00.000 UTC,139185,USDT,2118114622.154422
2023-02-04 00:00:00.000 UTC,84269,USDC,5609122151.669972
2023-02-05 00:00:00.000 UTC,78076,USDC,6213111140.029011
2023-02-05 00:00:00.000 UTC,134223,USDT,2113812620.945542
2023-02-06 00:00:00.000 UTC,181510,USDT,4669898242.240864
2023-02-06 00:00:00.000 UTC,95523,USDC,8261622384.280743
2023-02-07 00:00:00.000 UTC,217166,USDT,7195353521.135663
2023-02-07 00:00:00.000 UTC,115118,USDC,7906249277.10689
2023-02-08 00:00:00.000 UTC,117121,USDC,9629662322.207891
2023-02-08 00:00:00.000 UTC,222194,USDT,4321826891.938078
2023-02-09 00:00:00.000 UTC,116147,USDC,11466932698.817043
2023-02-09 00:00:00.000 UTC,225265,USDT,4814925190.832528
2023-02-10 00:00:00.000 UTC,293550,USDT,4700342014.588894
2023-02-10 00:00:00.000 UTC,127277,USDC,41630617876.5857
2023-02-11 00:00:00.000 UTC,90424,USDC,6439560626.365271
2023-02-11 00:00:00.000 UTC,225738,USDT,2135924708.79639
2023-02-12 00:00:00.000 UTC,95682,USDC,5954440509.48153
2023-02-12 00:00:00.000 UTC,212493,USDT,1690343456.045088
2023-02-13 00:00:00.000 UTC,222887,USDT,9385223944.508228
2023-02-13 00:00:00.000 UTC,112423,USDC,16658995735.60215
2023-02-14 00:00:00.000 UTC,222976,USDT,6298485064.87884
2023-02-14 00:00:00.000 UTC,108536,USDC,25157272727.274303
2023-02-15 00:00:00.000 UTC,199552,USDT,5174698231.270692
2023-02-15 00:00:00.000 UTC,109795,USDC,14831889825.8288
2023-02-16 00:00:00.000 UTC,209132,USDT,6348451724.683389
2023-02-16 00:00:00.000 UTC,115080,USDC,11384118334.679155
2023-02-17 00:00:00.000 UTC,102982,USDC,10738572409.49375
2023-02-17 00:00:00.000 UTC,219823,USDT,4848437930.002867
2023-02-18 00:00:00.000 UTC,406902,USDT,2447944451.329348
2023-02-18 00:00:00.000 UTC,150571,USDC,7930264374.672837
2023-02-19 00:00:00.000 UTC,76441,USDC,5237733370.862823
2023-02-19 00:00:00.000 UTC,110291,USDT,1592773507.494654
2023-02-20 00:00:00.000 UTC,143954,USDT,2909574958.396887
2023-02-20 00:00:00.000 UTC,82243,USDC,6679773572.983258
2023-02-21 00:00:00.000 UTC,181453,USDT,3793240917.066921
2023-02-21 00:00:00.000 UTC,92910,USDC,10497638557.39169
2023-02-22 00:00:00.000 UTC,249204,USDT,4261715312.745895
2023-02-22 00:00:00.000 UTC,116656,USDC,10411100626.237816
2023-02-23 00:00:00.000 UTC,371584,USDT,3550248847.212846
2023-02-23 00:00:00.000 UTC,151545,USDC,11098107436.402246
2023-02-24 00:00:00.000 UTC,77484,USDC,10352155072.566814
2023-02-24 00:00:00.000 UTC,146814,USDT,4384701817.571363
2023-02-25 00:00:00.000 UTC,61026,USDC,7078789734.738341
2023-02-25 00:00:00.000 UTC,113083,USDT,1577346784.889705
2023-02-26 00:00:00.000 UTC,108421,USDT,1465135710.566368
2023-02-26 00:00:00.000 UTC,57971,USDC,4854885616.33119
2023-02-27 00:00:00.000 UTC,149366,USDT,3553125626.247962
2023-02-27 00:00:00.000 UTC,77638,USDC,10946422233.699663
2023-02-28 00:00:00.000 UTC,155283,USDT,3836270564.90653
2023-02-28 00:00:00.000 UTC,80063,USDC,8508174373.730769
2023-03-01 00:00:00.000 UTC,149588,USDT,3971101635.854015
2023-03-01 00:00:00.000 UTC,88265,USDC,10347082911.340816
2023-03-02 00:00:00.000 UTC,84375,USDC,13105176545.56176
2023-03-02 00:00:00.000 UTC,147529,USDT,4730074887.779245
2023-03-03 00:00:00.000 UTC,159454,USDT,6177394748.824792
2023-03-03 00:00:00.000 UTC,86515,USDC,16291503740.775105
2023-03-04 00:00:00.000 UTC,110108,USDT,8279526656.138612
2023-03-04 00:00:00.000 UTC,55371,USDC,6787165256.703571
