address,flow_symmetry,in_degree,inflow_usd,n_transfers,out_degree,outflow_usd,total_volume_usd
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0.99995496549017,90,91205855103.88539,435002,97,91209962699.84718,182415817803.73257
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0.9996896245272344,49802,79879850134.41972,1039769,18725,79904650578.11908,159784500712.53882
0xcd531ae9efcce479654c4926dec5f6209531ca7b,0.9996937013426512,2976,66081817106.94016,72186,6252,66102064080.41598,132183881187.35614
0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.9999005497724442,33,54941971326.393745,40205,1,54947435861.39377,109889407187.7875
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0.9997976273577527,1276,35957239119.46059,717097,3847,35949962357.97206,71907201477.43265
0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,0.9944403562500711,10070,26107310278.822826,92464,10643,25962162934.403713,52069473213.22654
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0.9979742945910925,629,22912301687.863914,295634,160849,22865888114.40429,45778189802.2682
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,0.9876967559762241,4154,22716742748.632843,34370,4745,22437253119.17107,45153995867.80391
0x9696f59e4d72e237be84ffd425dcad154bf96976,0.9950356806506793,620,21546439457.757538,274281,151553,21439476051.448425,42985915509.20596
0x28c5b0445d0728bc25f143f8eba5c5539fae151a,0.9999999999999998,1,20481947588.609993,881,1,20481947588.609997,40963895177.219986
0x23878914efe38d27c4d67ab83ed1b93a74d4086a,0.9880297245222286,8311,19583561735.35358,94528,11270,19349141106.545456,38932702841.89903
0xee55328d240d10b09f549dc3b2a6653c13f10bfc,1.0,14,19185288501.728645,1094,27,19185288501.728645,38370577003.45729
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0.9999998772757681,22999,17755814950.043446,617096,27250,17755817129.112465,35511632079.155914
0x3416cf6c708da44db2624d63ea0aaef7113527c6,0.9999725001130736,28428,17695868643.94984,413541,24980,17696355291.71937,35392223935.66921
0x1f2f10d1c40777ae1da742455c65828ff36df387,0.9997963464795402,3143,16577315578.034657,205648,2384,16573939549.357416,33151255127.392075
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0.9999086750895787,67767,15502404257.693148,1313676,28002,15500988502.012999,31003392759.706146
0xcffad3200574698b78f32232aa9d63eabd290703,0.9873396801472377,55251,14405384207.266687,148791,17,14223007435.600761,28628391642.867447
0x31173ed183e5a9450c3671018ec4d770c8a8bf18,0.9999999866850076,79,14288254758.202196,1092,30,14288254948.450203,28576509706.652397
0x37305b1cd40574e4c5ce33f8e8306be057fd7341,0.8878311649546504,213,15000780428.338497,39484,789,13318160362.920689,28318940791.259186
0xad6eaa735d9df3d7696fd03984379dae02ed8862,0.9976443539285127,195,14167642231.683352,8106,447,14134268280.918049,28301910512.601402
0x11b815efb8f581194ae79006d24e0d814b7697f6,0.9996383588223564,33345,14097229666.043783,546817,11139,14102329649.145618,28199559315.1894
0xc9f93163c99695c6526b799ebca2207fdf7d61ad,0.9995391832183248,93,13860836794.274418,143336,97,13867227045.212152,27728063839.486572
0x00000000032962b51589768828ad878876299e14,0.9999999725467027,30,13629732956.499094,13253,33,13629733330.680216,27259466287.17931
0x46340b20830761efd32832a74d7169b29feb9758,0.9997800188854132,259,13211710166.754723,667885,205304,13214617132.960468,26426327299.71519
0x4594467601ce92b0d94fc5112722131a535ef0c7,0.9999999999999999,17,13152177765.098965,9998,1,13152177765.098963,26304355530.19793
0xc6619cb0b4b2bcd267c621a04cb5d094b02cce33,0.9999999999999997,2,12953976196.250002,575,1,12953976196.249998,25907952392.5
0xc333e80ef2dec2805f239e3f1e810612d294f771,0.999914551514568,65,11948384980.617443,11571,45,11947364009.217491,23895748989.834934
0x3451b6b219478037a1ac572706627fc2bda1e812,0.9999999999999993,23767,11930455592.287157,316350,1114,11930455592.28715,23860911184.574306
0xe37e799d5077682fa0a244d46e5649f71457bd09,0.9999999999999983,42303,11607138398.831203,628209,1358,11607138398.831223,23214276797.662426
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,0.9997090108351024,1492,10856799040.05873,47850,979,10853639829.172602,21710438869.23133
0x100ae042ef0ea159ecc3513e9a378ff21f3829ba,0.9980488950936519,61,10833727040.97713,12123,93,10854906101.529774,21688633142.506905
0x367c42a6f261ec54ffbecf5f41c226be12a3dca0,0.9989769534735263,2,10558860090.89254,14053,126,10548057885.75303,21106917976.64557
0x68d3a973e7272eb388022a5c6518d9b2a2e66fbf,0.9999481815797953,59,10162872129.788553,442800,52,10163398781.057299,20326270910.84585
0xa3c9204c856ba6c5c56e32bfc44b4c8203fea930,0.9999999999999994,15,9792319596.147842,8652,1,9792319596.147837,19584639192.295677
0x3b87ec83800b130915035e9a4a85491451a63c67,0.9999999999970575,2,9684236059.785103,374,1,9684236059.756607,19368472119.54171
0x5a52e96bacdabb82fd05763e25335261b270efcb,0.5994609178720954,7,12031849834.296286,65,3,7212623745.366471,19244473579.662758
0x11dbf181dd5c075c2abd92cb9579c4809406b5be,0.998560517031833,267,9198154235.171278,15989,626,9184913648.811176,18383067883.982452
0xed0c6079229e2d407672a117c22b62064f4a4312,0.9999999999999806,54,9118985346.578571,1684,50,9118985346.578749,18237970693.15732
0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,0.9886950416450946,407,8796533954.862963,47567,2401,8697089504.835726,17493623459.69869
0xa29e963992597b21bcdcaa969d571984869c4ff5,0.9994613513204115,456,8668953745.631922,20355,250,8673625782.707022,17342579528.338943
0x3a3c006053a9b40286b9951a11be4c5808c11dc8,0.9953217677358127,313,8254170003.788035,1587,104,8215555079.362227,16469725083.150263
0xdbf5e9c5206d0db70a90108bf936da60221dc080,0.9998195939330505,248,8142890240.34945,13884,772,8141421213.547587,16284311453.897038
0x7c7c902b2eda842ffc7a5774308af456425712ec,0.999999999375834,11,8010685525.939464,807,1,8010685530.939462,16021371056.878925
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0.9897285849696617,46381,7933084919.781255,198031,33241,8015414569.464445,15948499489.2457
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0.9960479750675805,6455,7817857863.927593,128409,2510,7848876820.814943,15666734684.742537
0x1dbbbc3fdb2c4fabd28fd9b84ed99ceb84bfbec5,0.9999999999999999,37,7812232029.60564,828,272,7812232029.605639,15624464059.21128
0x1157a2076b9bb22a85cc2c162f20fab3898f4101,0.9879735321620782,394,7840941944.610538,14697,323,7746643108.494667,15587585053.105206
0x111111125421ca6dc452d289314280a0f8842a65,0.9999999999999993,1062,7232854685.999225,149116,16145,7232854685.99922,14465709371.998444
0x1bf621aa9cee3f6154881c25041bb39aed4ca7cc,0.999948523037129,26,6883346292.843741,81920,21,6883700644.8462515,13767046937.689993
0x8f0ee0393eae7fc1638bd7860a3fec6a663786ae,0.9999999999999997,111,6659958557.7196865,10320,34,6659958557.719688,13319917115.439375
