,BTC,ETH
2023-02-01,23165.0,1586.1528857850815
2023-02-08,23259.39942465226,1673.19
2023-02-15,22223.0,1557.72
2023-02-22,24417.38703630947,1657.24
2023-03-01,23122.0,1604.31
2023-03-08,22210.0,1562.87
2023-03-15,24771.0,1704.5998680248742
2023-03-22,28289.0,1813.58
2023-03-29,27296.0,1775.07
2023-04-05,28228.0,1873.8
2023-04-12,30256.0,1892.69
2023-04-19,30385.0,2104.67
2023-04-26,28334.0,1868.63
2023-05-03,28671.0,1871.43
2023-05-10,27653.0,1848.75
2023-05-17,27024.0,1823.74
2023-05-24,27222.0,1854.17
2023-05-31,27713.0,1901.24
2023-06-07,27210.0,1883.2
2023-06-14,25880.0,1737.27
2023-06-21,28358.0,1793.4
2023-06-28,30681.0,1889.14
2023-07-05,30772.0,1936.42
2023-07-12,30620.0,1878.09
2023-07-19,29855.0,1897.54
2023-07-26,29234.0,1858.27
2023-08-02,29583.0,1870.5
2023-08-09,29756.0,1855.64
2023-08-16,29164.115145973017,1826.4394800462132
2023-08-23,26029.100103068835,1633.6945048338055
2023-08-30,27717.477388957628,1729.9040991848067
2023-09-06,25770.0,1633.11
2023-09-13,25850.322299629544,1593.0069499467456
2023-09-20,27214.0,1643.36
2023-09-27,26214.0,1593.84
2023-10-04,27425.0,1656.34
2023-10-11,27390.0,1567.39
2023-10-18,28416.0,1565.06
2023-10-25,33846.0,1785.93
2023-11-01,34669.0,1816.63
2023-11-08,35442.0,1887.8784739090988
2023-11-15,35527.0,1978.57
2023-11-22,35788.0,1932.31
2023-11-29,37843.46006125882,2050.36
2023-12-06,44087.0,2293.76
2023-12-13,41458.0,2201.636523315447
2023-12-20,42278.0,2178.31
2023-12-27,42509.0,2231.4907077795483
2024-01-03,44952.0,2356.16
2024-01-10,46132.0,2344.84
2024-01-17,43136.0,2588.58
2024-01-24,39846.0,2241.94
2024-01-31,42949.0,2346.16
2024-02-07,43086.0,2372.61
2024-02-14,49758.0,2642.42
2024-02-21,52286.79372554667,3015.7
2024-02-28,57050.44750176621,3244.73
2024-03-06,63783.0,3553.14
2024-03-13,71443.0,3978.3
2024-03-20,61866.0,3159.05
2024-03-27,70004.0,3588.73
2024-04-03,65462.0,3276.0296994644086
2024-04-10,69111.92366890248,3503.75504620969
2024-04-17,63842.0,3086.78
2024-04-24,66432.0,3220.5
2024-05-01,60570.0,3010.0077514604686
2024-05-08,62333.0,3010.31
2024-05-15,61539.70958354517,2880.78
2024-05-22,70139.0,3788.62
2024-05-29,68339.0,3840.99
2024-06-05,70542.10192339358,3810.788904405213
2024-06-12,67288.76639403235,3496.52
2024-06-19,65159.0,3481.49
2024-06-26,61817.0,3395.48
2024-07-03,62033.0,3416.73
2024-07-10,58025.0,3065.33
2024-07-17,65120.0,3444.27
2024-07-24,65908.07756582682,3482.12
2024-07-31,66194.0,3278.32
2024-08-07,56042.0,2458.71
2024-08-14,60622.0,2704.32
2024-08-21,58997.0,2572.26
2024-08-28,59506.0,2458.1
2024-09-04,57439.0,2422.64
2024-09-11,57656.0,2390.86
2024-09-18,60313.0,2342.06
2024-09-25,64289.0,2653.49
2024-10-02,60824.0,2448.64
2024-10-09,62125.0,2438.9
2024-10-16,67063.0,2605.87
2024-10-23,67374.0,2620.69
2024-10-30,72715.0,2636.52
2024-11-06,69361.0,2423.42
2024-11-13,87890.0,3246.38
2024-11-20,92388.0,3115.25
2024-11-27,91967.0,3326.58
2024-12-04,95973.0,3621.33
2024-12-11,96643.0,3627.68
2024-12-18,106170.0,3884.73
2024-12-25,98675.0,3494.2
2025-01-01,93450.0,3333.54
2025-01-08,96897.0,3379.67
2025-01-15,96499.0,3222.2
2025-01-22,106193.0,3326.87
2025-01-29,101349.0,3078.52
2025-02-05,97888.30731950274,2734.763245293648
2025-02-12,95718.0,2602.57
2025-02-19,95544.0,2670.7
2025-02-26,88623.0,2492.38
2025-03-05,87235.0,2169.94
2025-03-12,82833.0,1921.01
2025-03-19,82720.0,1932.09
2025-03-26,87457.0,2067.37
2025-04-02,85152.0,1905.19
2025-04-09,76291.0,1471.74
2025-04-16,83663.0,1587.78
2025-04-23,93496.0,1757.93
2025-04-30,94278.0,1799.15
2025-05-07,96827.0,1816.16
2025-05-14,104159.0,2678.52
2025-05-21,106789.0,2523.28
2025-05-28,109061.0,2662.69
2025-06-04,105434.0,2594.79
2025-06-11,110248.0,2812.28
2025-06-18,104593.0,2512.86
2025-06-25,106011.0,2446.73
2025-07-02,105660.0,2405.71
2025-07-09,108947.0,2615.5
2025-07-16,117707.0,3136.34
2025-07-23,119963.0,3747.33
2025-07-30,117857.0,3790.62
2025-08-06,114129.0,3612.42
2025-08-13,120154.0,4594.62
2025-08-20,112784.0,4075.45
2025-08-27,111780.0,4597.64
2025-09-03,111210.0,4324.71
2025-09-10,111508.0,4308.83
2025-09-17,116815.0,4502.35
2025-09-24,111998.0,4164.72
2025-10-01,114041.0,4145.44
2025-10-08,121421.09682575155,4450.184975454458
2025-10-15,113102.23374305529,4124.857634421374
2025-10-22,108440.99483290018,3876.0139284114493
2025-10-29,112924.12430065098,3980.9693676310208
2025-11-05,101559.82032269693,3291.4695304546653
2025-11-12,103010.21350183112,3415.6155749067498
2025-11-19,92934.0312630283,3122.1144554619614
2025-11-26,87332.49458671926,2958.5956456498648
2025-12-03,91328.28340718999,2997.221105767801
2025-12-10,92690.73958174055,3321.113847723521
2025-12-17,87834.29178769019,2962.7777567487974
2025-12-24,87417.81732192879,2963.3840642515106
2025-12-31,88427.24725770658,2971.4579899740925
2026-01-07,93735.3336588694,3296.1374889924
2026-01-14,95328.74925039185,3323.0717363942053
2026-01-21,88334.61339160576,2936.2001439827745
2026-01-28,89125.69921573346,3022.172638872313
