date_utc,dex_volume_usd,defi_dollar_collateral_usd,liquidations_usd
2023-02-01,2962028793,27163590362,1192272.1434811056
2023-02-02,3739177123,28250986888,337067.48267553095
2023-02-03,3104546126,27889957973,257284.0801170508
2023-02-04,2218863262,28117677587,801433.6818146874
2023-02-05,2527352058,28079432655,1271070.9354874424
2023-02-06,2671643581,27774254173,550097.5357789769
2023-02-07,3503055213,27704711045,3950982.068814718
2023-02-08,3192395531,28315926581,1154642.2737517252
2023-02-09,4248707565,28002595364,655720.1934108684
2023-02-10,4034590225,26884577306,497773.7022017507
2023-02-11,2774511966,26643991422,420342.25025739835
2023-02-12,2068986364,26974441499,1305819.8970076577
2023-02-13,3496980009,26790043629,577272.1768030297
2023-02-14,3448704627,26782252218,61532.799232396945
2023-02-15,3401065854,27280583800,507571.3502135166
2023-02-16,4603432449,28915013745,1339393.2400008733
2023-02-17,3707097260,28470586878,201494.26060868046
2023-02-18,2179624169,29136272291,192919.62583497632
2023-02-19,2697053228,29321976063,758328.8393287822
2023-02-20,2830822383,29126115304,758918.6472692739
2023-02-21,3416189574,29491737061,1006218.0612636784
2023-02-22,3295093975,28738725839,1893339.1019588546
2023-02-23,2856544365,28568863622,1289005.5033202344
2023-02-24,3056164636,28635826884,944236.3759500392
2023-02-25,1857180044,28063334092,1281730.339832303
2023-02-26,1737763435,27918377020,390023.3193635948
2023-02-27,2453132624,28534956672,449085.7897120136
2023-02-28,2435638695,28566999843,259111.7597428836
2023-03-01,2801439142,28387643796,347735.0900492136
2023-03-02,2757034932,28990100221,996893.9320334999
2023-03-03,2972819618,28799267198,96626.47968660918
2023-03-04,1505992687,27858956082,568633.3766388962
2023-03-05,1783224988,27971977497,563633.6847099123
2023-03-06,2111814588,27989588751,680596.4666063497
2023-03-07,2874869880,27920283018,554830.2648562941
2023-03-08,2526276163,27903224233,18717309.885011274
2023-03-09,3022942655,27402430206,27786905.153374754
2023-03-10,7259193891,26110607368,111928505.6551709
2023-03-11,7078236605,25971349070,144263257.32643914
2023-03-12,7955685790,25476418368,34841364.782650985
2023-03-13,8695241221,27735899647,48902050.760382704
2023-03-14,6191647586,27933681512,6143331.485842484
2023-03-15,5017276906,28023844471,19083924.44788115
2023-03-16,2876276624,27168817310,535846.402284365
2023-03-17,4436815151,27158949317,2012225.2929820807
2023-03-18,3689954771,28499344490,288289.41070633614
2023-03-19,3037650091,28515691892,659778.6818396449
2023-03-20,3818358659,28528830345,4237738.298723586
2023-03-21,3283289150,28571595709,732897.0817689335
2023-03-22,4642783922,29101405792,949058.0798373739
2023-03-23,4042538562,28459867953,128548.01998110574
2023-03-24,3952590645,29055249707,1750660.5239815523
2023-03-25,2197220009,28373482638,923970.4667201864
2023-03-26,2168799942,28280617806,787607.3359636186
2023-03-27,3017613054,28447281911,419711.8635576114
2023-03-28,2625674270,27903073276,362579.1811616699
2023-03-29,3303057344,28257555880,539606.191169909
2023-03-30,3241896991,28515248722,1143507.4604258582
2023-03-31,2709589122,28564420363,2083102.9708997924
2023-04-01,1834964296,28810489885,714212.1727586703
2023-04-02,1950640833,28755304472,1106585.3380071037
2023-04-03,3053236045,28514471194,881736.0622184763
2023-04-04,2609651061,28712692775,980571.9583697646
2023-04-05,2669657562,29630369198,1122973.7878701314
2023-04-06,2168549713,29487937974,1847329.9247172517
2023-04-07,1535222222,29348273466,86860.46655802407
2023-04-08,1426378248,29193589046,1442580.483982161
2023-04-09,1553301875,29218124053,279272.69662571186
2023-04-10,2017709113,29294186500,215948.20077179765
2023-04-11,2355136264,29773224072,849700.3114431667
2023-04-12,2812504021,29546489489,100607.95654833168
2023-04-13,3088780556,29654452468,2165669.164286406
2023-04-14,4100106452,31307814553,986844.5675980167
2023-04-15,2284673535,31319292422,1285242.0017387802
2023-04-16,2412903440,31407571335,16260.698168370505
2023-04-17,2769582365,31140022861,902466.4280314513
2023-04-18,3323066003,30604008582,813700.7334444808
2023-04-19,3973175662,30972685118,173115.63460127095
2023-04-20,3315156423,29420445393,166137.84059953596
2023-04-21,3491272069,29162781244,1189181.1711516404
2023-04-22,1723268053,28046588935,383850.04541557055
2023-04-23,1715908752,28130371312,1177559.0575803895
2023-04-24,2348555584,28113370104,808296.0006755913
2023-04-25,2458719238,27805904450,492577.4296667623
2023-04-26,3727828345,28066021294,2592035.2557832184
2023-04-27,3544991638,28530921494,1843073.7969697497
2023-04-28,2091730926,28402819171,442229.0456333751
2023-04-29,1482746778,28076144208,44570.118091750956
2023-04-30,2067103703,28215117818,363509.78176308726
2023-05-01,2650141104,27946203794,5078063.229754691
2023-05-02,2344890900,27437382854,12206403.745876074
2023-05-03,2816530924,27805039674,53727138.18404093
2023-05-04,2176833152,28230594023,4399243.655240154
2023-05-05,3735354067,27996626129,14377889.96977101
2023-05-06,3551390344,29070954906,899376.8724702668
2023-05-07,2316701148,28281715173,1176687.7783599778
2023-05-08,3771156448,27985252051,163846.2244913388
2023-05-09,2428483940,27280864269,508954.52989800804
2023-05-10,3432164958,27365290178,275563.66153562895
2023-05-11,3228302437,27046940107,420765.5867957273
2023-05-12,3434395664,26590988779,719754.3408356237
2023-05-13,1691529914,26606808452,1098485.9471417514
2023-05-14,1501741654,26505392762,111947.14333937256
2023-05-15,2048121504,26457859211,140291.27571102572
2023-05-16,1943725922,26740706673,388579.38742178475
2023-05-17,2373980397,26819973196,1083421.268700888
2023-05-18,2187574047,26778657570,1874095.2682868722
2023-05-19,1818915993,26579847460,805772.565585219
2023-05-20,1372907205,26631205764,1927252.699451869
2023-05-21,1217456260,26845506020,485869.3244411946
2023-05-22,1551960355,26585570806,380949.92167402356
2023-05-23,2688750707,26787358460,437365.5736936714
2023-05-24,2262256407,27135461596,187633.83704826175
2023-05-25,1919716857,26506177739,1766750.6208029138
2023-05-26,1607128294,26567785684,413503.59925230144
2023-05-27,1134574940,26793117002,803788.4488677589
2023-05-28,1988200991,26975551829,864057.6160156658
2023-05-29,2496845154,27745780349,737168.1601255251
2023-05-30,1958907547,27434654540,2691.6839073541432
2023-05-31,1917517982,27482481418,4452055.981643449
2023-06-01,1731551787,26587087851,2357480.4001275706
2023-06-02,1860444801,26531813731,232734.22161334928
2023-06-03,1311629967,26982632797,346002.68532571796
2023-06-04,1235402889,26889010519,733990.3275382526
2023-06-05,3133145589,26816646151,2321883.8483938333
2023-06-06,2808073374,25905928561,4112358.9459767295
2023-06-07,2620562886,26691139126,297789.06196944206
2023-06-08,1846003186,26066698924,830936.8678364294
2023-06-09,1821020389,26146848213,1644902.8448831302
2023-06-10,3971845525,25902531217,501486.1295226114
2023-06-11,1402255020,24936483310,1313315.4449612878
2023-06-12,2294636397,24945676483,175626.833859226
2023-06-13,2188938712,24736556836,918038.6782266559
