source_gateway,counterparty_address,counterparty_label,interaction_count,total_volume_usd,volume_in_usd,volume_out_usd,stablecoin_transfers,source
0x Exchange,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether: WETH Token [0xc02aaa],63284,204627629.62653822,68643945.33263871,135983684.2938995,0,v2
0x Exchange,0x0000000000000000000000000000000000000000,Burn Address [0x000000],63284,204604261.3528868,135968869.9749194,68635391.37796739,0,v2
0x Exchange,0x51c72848c68a965f66fa7a88855f9f7784502a7f,Wintermute Market Making [0x51c728],9078,81697551.04724967,21498747.801285483,60198803.245964184,0,v2
0x Exchange,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,Uniswap: V3 USDC-WETH (0.05%) Liquidity Pool  [0x88e6a0],13069,74629426.32445028,35583508.17757104,39045918.14687924,3429,v2
0x Exchange,0x74de5d4fcbf63e00296fd95d33236b9794016631,MetaMask [0x74de5d],27077,37876312.98423756,15979707.710526178,21896605.273711383,0,v2
0x Exchange,0x3416cf6c708da44db2624d63ea0aaef7113527c6,Uniswap: V3 USDC-USDT (0.01%) Liquidity Pool  [0x3416cf],2293,24853011.95323628,12681958.14785163,12171053.805384649,2293,v2
0x Exchange,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x: Exchange Proxy Flash Wallet [0x22f9dc],63197,24502609.70309788,0.0,24502609.70309788,0,v2
0x Exchange,0x11b815efb8f581194ae79006d24e0d814b7697f6,Uniswap: V3 WETH-USDT (0.05%) Liquidity Pool  [0x11b815],8377,16390353.808387803,7852418.204020023,8537935.60436778,2789,v2
0x Exchange,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,Uniswap: V3 WBTC-WETH (0.05%) Liquidity Pool  [0x4585fe],1952,14705095.198080838,6898652.479300108,7806442.718780729,0,v2
0x Exchange,0xa2fde9de6e6ebfe068d3ec0b515669817a9c3808,​​🤖 DEX Aggregator [0xa2fde9],41265,11479818.356041009,11479818.356041009,0.0,0,v2
0x Exchange,0xddfe0b953e0c88aaa8f01f769ffeb8c856e80f51,​​Trading Bot [0xddfe0b],21,11249890.224192534,6471150.621976829,4778739.602215704,0,v2
0x Exchange,0xc3fb23b2a11dc9244b2bf4aa9c6d87d615828dda,Token Millionaire [0xc3fb23],12,8909536.632823946,6313400.534976201,2596136.0978477444,0,v2
0x Exchange,0x56534741cd8b152df6d48adf7ac51f75169a83b2,Uniswap: V3 WBTC-USDT (0.05%) Liquidity Pool  [0x565347],482,8800479.16875393,3502603.5452130185,5297875.62354091,275,v2
0x Exchange,0x584cd92b438479ea1957c3ea649e62e797dc3749,​​Yield Farmer [0x584cd9],1,7622569.937929108,7622569.937929108,0.0,0,v2
0x Exchange,0x202a6012894ae5c288ea824cbc8a9bfb26a49b93,Uniswap: V3 WETH-WEETH (0.01%) Liquidity Pool  [0x202a60],343,7546415.853759043,448751.694821998,7097664.158937045,0,v2
0x Exchange,0xe1bafb5f16d8829d7b35309db6aaf57a882c9511,High Balance [0xe1bafb],79,7071848.115748945,4465801.507528896,2606046.6082200482,0,v2
0x Exchange,0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,Uniswap: V3 WETH-SOLW (0.3%) Liquidity Pool  [0x127452],383,6940311.048704481,473513.7587436639,6466797.2899608165,0,v2
0x Exchange,0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,Uniswap: V3 WSTETH-WETH (0.01%) Liquidity Pool  [0x109830],796,6583677.179963203,3496286.2773526637,3087390.90261054,0,v2
0x Exchange,0x5777d92f208679db4b9778590fa3cab3ac9e2168,Uniswap: V3 DAI-USDC (0.01%) Liquidity Pool  [0x5777d9],1135,6333174.512802545,3400424.0250178785,2932750.4877846665,1135,v2
0x Exchange,0xa339d279e0a3a9ede11eceac2ec9529eebdae12c,[0xa339d2],3,6264326.770085938,6264326.770085938,0.0,0,v2
0x Exchange,0x338781ca05f3e604a47707cde312d33730274ad7,High Balance [0x338781],157,6187667.580400699,1766661.1140115142,4421006.466389185,0,v2
0x Exchange,0x8c463874382b7f8582ed01650f8b30a82690612f,​​Trading Bot [0x8c4638],200,6048031.114077319,6021744.797298658,26286.316778661938,0,v2
0x Exchange,0x382ffce2287252f930e1c8dc9328dac5bf282ba1,Coinbase: Wallet Swap Service Fees [0x382ffc],2239,5945082.787044759,3977615.6587485354,1967467.1282962232,0,v2
0x Exchange,0xe8f7c89c5efa061e340f2d2f206ec78fd8f7e124,Uniswap: V3 WBTC-CBBTC (0.01%) Liquidity Pool  [0xe8f7c8],173,5884845.158332357,1878700.251784548,4006144.906547809,0,v2
