entity,tier,baseline_t1_mean,loo_t1_mean,delta_pp,abs_delta_pp
Binance,2,40.8,66.25,25.45,25.45
Coinbase,1,40.8,23.63,-17.17,17.17
Circle,1,40.8,28.51,-12.29,12.29
Kraken,2,40.8,43.14,2.34,2.34
OKX,2,40.8,42.43,1.63,1.63
Tether,2,40.8,42.3,1.49,1.49
Bybit,2,40.8,41.99,1.18,1.18
Curve 3pool,3,40.8,41.56,0.76,0.76
1inch,3,40.8,41.27,0.46,0.46
Uniswap Universal Router,3,40.8,40.97,0.16,0.16
Compound V3,3,40.8,40.94,0.13,0.13
BitGo,1,40.8,40.75,-0.05,0.05
Uniswap V3,3,40.8,40.84,0.04,0.04
Aave V3,3,40.8,40.8,0.0,0.0
Gemini,1,40.8,40.8,-0.0,0.0
Robinhood,2,40.8,40.8,0.0,0.0
Tornado Cash,3,40.8,40.8,0.0,0.0
