event_day,svb_t1_share,placebo_mean,placebo_std,placebo_p5,placebo_p95,svb_zscore
-7,0.581663,0.39732,0.118055,0.226,0.627078,1.5615
-6,0.107084,0.410415,0.113803,0.219311,0.60574,-2.6654
-5,0.437436,0.386511,0.116888,0.225347,0.605653,0.4357
-4,0.554904,0.429767,0.111943,0.255346,0.627046,1.1179
-3,0.578064,0.381245,0.114549,0.166886,0.543454,1.7182
-2,0.41627,0.359121,0.124715,0.165812,0.563579,0.4582
-1,0.489029,0.389492,0.130846,0.169574,0.605231,0.7607
0,0.625434,0.396799,0.09179,0.215916,0.529926,2.4908
1,0.298604,0.398052,0.126859,0.210139,0.624286,-0.7839
2,0.132242,0.387979,0.115697,0.204933,0.54021,-2.2104
3,0.565172,0.432121,0.117713,0.271845,0.664878,1.1303
4,0.543141,0.393,0.10704,0.223281,0.598977,1.4027
5,0.469538,0.384958,0.123909,0.218037,0.583822,0.6826
6,0.387976,0.40426,0.127541,0.195229,0.629433,-0.1277
7,0.494902,0.412074,0.123335,0.212623,0.601491,0.6716
