date,aave_v3_usdc_apy,aave_v3_usdc_apy_base,supply_rate
2023-02-06,1.80182,1.80182,1.80182
2023-02-07,1.97735,1.97735,1.97735
2023-02-08,1.73451,1.73451,1.73451
2023-02-09,1.0749,1.0749,1.0749
2023-02-10,1.05823,1.05823,1.05823
2023-02-11,1.35111,1.35111,1.35111
2023-02-12,1.47719,1.47719,1.47719
2023-02-13,1.24523,1.24523,1.24523
2023-02-14,1.71585,1.71585,1.71585
2023-02-15,1.88962,1.88962,1.88962
2023-02-16,2.00243,2.00243,2.00243
2023-02-17,1.92538,1.92538,1.92538
2023-02-18,1.54773,1.54773,1.54773
2023-02-19,1.95834,1.95834,1.95834
2023-02-20,2.04867,2.04867,2.04867
2023-02-21,2.14632,2.14632,2.14632
2023-02-22,2.04761,2.04761,2.04761
2023-02-23,2.14809,2.14809,2.14809
2023-02-24,1.96046,1.96046,1.96046
2023-02-25,1.83693,1.83693,1.83693
2023-02-26,2.0019,2.0019,2.0019
2023-02-27,2.00604,2.00604,2.00604
2023-02-28,2.2728,2.2728,2.2728
2023-03-01,2.27665,2.27665,2.27665
2023-03-02,2.11839,2.11839,2.11839
2023-03-03,2.00565,2.00565,2.00565
2023-03-04,1.9362,1.9362,1.9362
2023-03-05,1.93045,1.93045,1.93045
2023-03-06,1.78654,1.78654,1.78654
2023-03-07,1.8405,1.8405,1.8405
2023-03-08,1.90456,1.90456,1.90456
2023-03-09,1.65696,1.65696,1.65696
2023-03-10,1.82627,1.82627,1.82627
2023-03-11,0.45335,0.45335,0.45335
2023-03-12,0.30325,0.30325,0.30325
2023-03-13,0.82528,0.82528,0.82528
2023-03-14,1.03616,1.03616,1.03616
2023-03-15,1.55068,1.55068,1.55068
2023-03-16,1.31765,1.31765,1.31765
2023-03-17,1.43826,1.43826,1.43826
2023-03-18,1.37282,1.37282,1.37282
2023-03-19,1.40539,1.40539,1.40539
2023-03-20,1.42419,1.42419,1.42419
2023-03-21,1.68975,1.68975,1.68975
2023-03-22,1.78793,1.78793,1.78793
2023-03-23,1.6473,1.6473,1.6473
2023-03-24,1.42846,1.42846,1.42846
2023-03-25,1.65166,1.65166,1.65166
2023-03-26,1.73471,1.73471,1.73471
2023-03-27,1.69824,1.69824,1.69824
2023-03-28,1.60915,1.60915,1.60915
2023-03-29,1.23576,1.23576,1.23576
2023-03-30,1.34841,1.34841,1.34841
2023-03-31,1.3059,1.3059,1.3059
2023-04-01,1.53382,1.53382,1.53382
2023-04-02,1.50676,1.50676,1.50676
2023-04-03,1.66215,1.66215,1.66215
2023-04-04,1.65961,1.65961,1.65961
2023-04-05,1.93178,1.93178,1.93178
2023-04-06,1.97769,1.97769,1.97769
2023-04-07,1.63919,1.63919,1.63919
2023-04-08,1.77874,1.77874,1.77874
2023-04-09,1.81617,1.81617,1.81617
2023-04-10,1.70714,1.70714,1.70714
2023-04-11,1.72344,1.72344,1.72344
2023-04-12,1.87502,1.87502,1.87502
2023-04-13,2.0233,2.0233,2.0233
2023-04-14,2.16172,2.16172,2.16172
2023-04-15,1.89914,1.89914,1.89914
2023-04-16,1.96776,1.96776,1.96776
2023-04-17,1.59423,1.59423,1.59423
2023-04-18,1.8172,1.8172,1.8172
2023-04-19,2.39334,2.39334,2.39334
2023-04-20,2.49518,2.49518,2.49518
2023-04-21,2.41192,2.41192,2.41192
2023-04-22,2.87098,2.87098,2.87098
2023-04-23,2.79977,2.79977,2.79977
2023-04-24,2.94301,2.94301,2.94301
2023-04-25,2.88715,2.88715,2.88715
2023-04-26,2.93063,2.93063,2.93063
2023-04-27,2.66396,2.66396,2.66396
2023-04-28,2.47537,2.47537,2.47537
2023-04-29,2.38553,2.38553,2.38553
2023-04-30,3.03529,3.03529,3.03529
2023-05-01,2.96878,2.96878,2.96878
2023-05-02,2.79348,2.79348,2.79348
2023-05-03,2.82696,2.82696,2.82696
2023-05-04,2.72451,2.72451,2.72451
2023-05-05,2.6843,2.6843,2.6843
