entity,month,n_transfers,token,volume_raw,tier,volume_usd,data_source
Jupiter,2024-05-01,0,USDC,5.6944612577324986e+17,3,569446125773.25,artemis_attributed
Jupiter,2024-04-01,0,USDC,3.4195302001211834e+17,3,341953020012.12,artemis_attributed
Jupiter,2024-03-01,0,USDC,3.2669254374212934e+17,3,326692543742.13,artemis_attributed
Raydium,2024-05-01,0,USDC,2.3726921907218746e+17,3,237269219072.19,artemis_attributed
Jupiter,2024-02-01,0,USDC,2.1326734242141008e+17,3,213267342421.41,artemis_attributed
Jupiter,2024-06-01,0,USDC,2.108629654224437e+17,3,210862965422.44,artemis_attributed
Raydium,2024-04-01,0,USDC,1.4248042500504931e+17,3,142480425005.05,artemis_attributed
Orca,2024-05-01,0,USDC,1.4236153144331246e+17,3,142361531443.31,artemis_attributed
Raydium,2024-03-01,0,USDC,1.3612189322588722e+17,3,136121893225.89,artemis_attributed
Jupiter,2024-01-01,0,USDC,1.1878873646128477e+17,3,118788736461.28,artemis_attributed
Jupiter,2024-10-01,0,USDC,9.251111919914368e+16,3,92511119199.14,artemis_attributed
Raydium,2024-02-01,0,USDC,8.886139267558752e+16,3,88861392675.59,artemis_attributed
Raydium,2024-06-01,0,USDC,8.785956892601822e+16,3,87859568926.02,artemis_attributed
Orca,2024-04-01,0,USDC,8.548825500302958e+16,3,85488255003.03,artemis_attributed
Orca,2024-03-01,0,USDC,8.167313593553234e+16,3,81673135935.53,artemis_attributed
Jupiter,2023-12-01,0,USDC,6.669516039666958e+16,3,66695160396.67,artemis_attributed
Jupiter,2024-11-01,0,USDC,6.552629518362482e+16,3,65526295183.62,artemis_attributed
Orca,2024-02-01,0,USDC,5.331683560535252e+16,3,53316835605.35,artemis_attributed
Orca,2024-06-01,0,USDC,5.271574135561093e+16,3,52715741355.61,artemis_attributed
Jupiter,2024-09-01,0,USDC,5.037437071514859e+16,3,50374370715.15,artemis_attributed
Raydium,2024-01-01,0,USDC,4.949530685886866e+16,3,49495306858.87,artemis_attributed
Jupiter,2025-01-01,0,USDC,4.931656918345617e+16,3,49316569183.46,artemis_attributed
Jupiter,2024-07-01,0,USDC,4.639725821060748e+16,3,46397258210.61,artemis_attributed
Jupiter,2024-12-01,0,USDC,4.4695577819881016e+16,3,44695577819.88,artemis_attributed
Raydium,2024-10-01,0,USDC,3.854629966630986e+16,3,38546299666.31,artemis_attributed
Jupiter,2024-08-01,0,USDC,3.846977516205958e+16,3,38469775162.06,artemis_attributed
Jupiter,2025-10-01,0,USDC,3.7121125962435096e+16,3,37121125962.44,artemis_attributed
Orca,2024-01-01,0,USDC,2.9697184115321188e+16,3,29697184115.32,artemis_attributed
Raydium,2023-12-01,0,USDC,2.7789650165279e+16,3,27789650165.28,artemis_attributed
Raydium,2024-11-01,0,USDC,2.730262299317701e+16,3,27302622993.18,artemis_attributed
Binance,2025-10-01 00:00:00.000 UTC,291493,USDC,2.6887173433528944e+16,2,26887173433.528942,
Jupiter,2025-09-01,0,USDC,2.536186140335827e+16,3,25361861403.36,artemis_attributed
Jupiter,2025-05-01,0,USDC,2.398737338131369e+16,3,23987373381.31,artemis_attributed
Jupiter,2025-02-01,0,USDC,2.3238623344206616e+16,3,23238623344.21,artemis_attributed
Orca,2024-10-01,0,USDC,2.312777979978592e+16,3,23127779799.79,artemis_attributed
Binance,2026-01-01 00:00:00.000 UTC,240123,USDC,2.266467900180219e+16,2,22664679001.802197,
Raydium,2024-09-01,0,USDC,2.098932113131191e+16,3,20989321131.31,artemis_attributed
Raydium,2025-01-01,0,USDC,2.054857049310674e+16,3,20548570493.11,artemis_attributed
Jupiter,2025-07-01,0,USDC,2.048446648657285e+16,3,20484466486.57,artemis_attributed
Jupiter,2025-08-01,0,USDC,1.991297342637116e+16,3,19912973426.37,artemis_attributed
Jupiter,2025-04-01,0,USDC,1.9528973058396708e+16,3,19528973058.4,artemis_attributed
Raydium,2024-07-01,0,USDC,1.933219092108645e+16,3,19332190921.09,artemis_attributed
Raydium,2024-12-01,0,USDC,1.8623157424950424e+16,3,18623157424.95,artemis_attributed
Binance,2025-12-01 00:00:00.000 UTC,263454,USDC,1.790126802955946e+16,2,17901268029.55946,
Jupiter,2025-11-01,0,USDC,1.785896387092397e+16,3,17858963870.92,artemis_attributed
Binance,2025-11-01 00:00:00.000 UTC,285608,USDC,1.7756591074022742e+16,2,17756591074.022743,
Jupiter,2025-03-01,0,USDC,1.758891699453352e+16,3,17588916994.53,artemis_attributed
Orca,2023-12-01,0,USDC,1.6673790099167396e+16,3,16673790099.17,artemis_attributed
Orca,2024-11-01,0,USDC,1.6381573795906204e+16,3,16381573795.91,artemis_attributed
Raydium,2024-08-01,0,USDC,1.6029072984191494e+16,3,16029072984.19,artemis_attributed
Raydium,2025-10-01,0,USDC,1.546713581768129e+16,3,15467135817.68,artemis_attributed
Jupiter,2026-01-01,0,USDC,1.342315889679394e+16,3,13423158896.79,artemis_attributed
Jupiter,2023-11-01,0,USDC,1.2892312339238742e+16,3,12892312339.24,artemis_attributed
Orca,2024-09-01,0,USDC,1.2593592678787148e+16,3,12593592678.79,artemis_attributed
Binance,2026-01-01 00:00:00.000 UTC,665207,USDT,1.2423678884839916e+16,2,12423678884.839916,
Binance,2025-09-01 00:00:00.000 UTC,245342,USDC,1.2423035976271792e+16,2,12423035976.271791,
Orca,2025-01-01,0,USDC,1.2329142295864042e+16,3,12329142295.86,artemis_attributed
Jupiter,2025-06-01,0,USDC,1.2009652107142626e+16,3,12009652107.14,artemis_attributed
Orca,2024-07-01,0,USDC,1.159931455265187e+16,3,11599314552.65,artemis_attributed
Orca,2024-12-01,0,USDC,1.1173894454970254e+16,3,11173894454.97,artemis_attributed
Binance,2025-07-01 00:00:00.000 UTC,213458,USDC,1.0712162387175778e+16,2,10712162387.175776,
Raydium,2025-09-01,0,USDC,1.056744225139928e+16,3,10567442251.4,artemis_attributed
Raydium,2025-05-01,0,USDC,9994738908880704.0,3,9994738908.88,artemis_attributed
Raydium,2025-02-01,0,USDC,9682759726752756.0,3,9682759726.75,artemis_attributed
Orca,2024-08-01,0,USDC,9617443790514896.0,3,9617443790.51,artemis_attributed
Jupiter,2025-12-01,0,USDC,9344643981554200.0,3,9344643981.55,artemis_attributed
Orca,2025-10-01,0,USDC,9280281490608774.0,3,9280281490.61,artemis_attributed
Binance,2025-01-01 00:00:00.000 UTC,249686,USDC,9230055763868002.0,2,9230055763.868002,
Binance,2025-05-01 00:00:00.000 UTC,206514,USDC,9027346578959948.0,2,9027346578.959948,
Binance,2025-02-01 00:00:00.000 UTC,136542,USDC,8972713845851734.0,2,8972713845.851734,
Binance,2025-08-01 00:00:00.000 UTC,213894,USDC,8556718396718313.0,2,8556718396.718313,
Raydium,2025-07-01,0,USDC,8535194369405357.0,3,8535194369.41,artemis_attributed
Raydium,2025-08-01,0,USDC,8297072260987981.0,3,8297072260.99,artemis_attributed
Raydium,2025-04-01,0,USDC,8137072107665296.0,3,8137072107.67,artemis_attributed
Raydium,2025-11-01,0,USDC,7441234946218322.0,3,7441234946.22,artemis_attributed
Raydium,2025-03-01,0,USDC,7328715414388968.0,3,7328715414.39,artemis_attributed
Binance,2025-03-01 00:00:00.000 UTC,136031,USDC,6848609240648315.0,2,6848609240.648315,
Binance,2025-01-01 00:00:00.000 UTC,242058,USDT,6528872515230946.0,2,6528872515.230946,
Orca,2025-09-01,0,USDC,6340465350839568.0,3,6340465350.84,artemis_attributed
Binance,2025-06-01 00:00:00.000 UTC,165962,USDC,6060761126005375.0,2,6060761126.005375,
Orca,2025-05-01,0,USDC,5996843345328423.0,3,5996843345.33,artemis_attributed
Orca,2025-02-01,0,USDC,5809655836051654.0,3,5809655836.05,artemis_attributed
Raydium,2026-01-01,0,USDC,5592982873664142.0,3,5592982873.66,artemis_attributed
Raydium,2023-11-01,0,USDC,5371796808016143.0,3,5371796808.02,artemis_attributed
Binance,2025-04-01 00:00:00.000 UTC,162799,USDC,5260978448388082.0,2,5260978448.388082,
Orca,2025-07-01,0,USDC,5121116621643213.0,3,5121116621.64,artemis_attributed
Raydium,2025-06-01,0,USDC,5004021711309427.0,3,5004021711.31,artemis_attributed
Orca,2025-08-01,0,USDC,4978243356592789.0,3,4978243356.59,artemis_attributed
Orca,2025-04-01,0,USDC,4882243264599177.0,3,4882243264.6,artemis_attributed
Binance,2025-10-01 00:00:00.000 UTC,290818,USDT,4603522754886740.0,2,4603522754.88674,
Orca,2025-11-01,0,USDC,4464740967730992.0,3,4464740967.73,artemis_attributed
Orca,2025-03-01,0,USDC,4397229248633380.0,3,4397229248.63,artemis_attributed
Binance,2024-12-01 00:00:00.000 UTC,161752,USDC,4345071533965910.0,2,4345071533.96591,
Binance,2025-11-01 00:00:00.000 UTC,244795,USDT,4334523976024855.0,2,4334523976.024855,
