day,n_transfers,token,volume_usd
2023-02-01 00:00:00.000 UTC,1973168,USDC,922382424.0400219
2023-02-01 00:00:00.000 UTC,79610,USDT,11648340.754519995
2023-02-02 00:00:00.000 UTC,70525,USDT,13982690.000193985
2023-02-02 00:00:00.000 UTC,1873479,USDC,844061340.1978076
2023-02-03 00:00:00.000 UTC,69021,USDT,11165435.511305004
2023-02-03 00:00:00.000 UTC,1740443,USDC,775501463.0775498
2023-02-04 00:00:00.000 UTC,1390250,USDC,685735432.8407394
2023-02-04 00:00:00.000 UTC,38779,USDT,10565254.263751008
2023-02-05 00:00:00.000 UTC,1586702,USDC,753634362.3130716
2023-02-05 00:00:00.000 UTC,55441,USDT,12299573.037280021
2023-02-06 00:00:00.000 UTC,1757369,USDC,1022267482.9648867
2023-02-06 00:00:00.000 UTC,52028,USDT,10413051.802855995
2023-02-07 00:00:00.000 UTC,1854320,USDC,1041924739.7383876
2023-02-07 00:00:00.000 UTC,69697,USDT,12587448.053529017
2023-02-08 00:00:00.000 UTC,62993,USDT,11832901.87928101
2023-02-08 00:00:00.000 UTC,1783908,USDC,1151700907.9577758
2023-02-09 00:00:00.000 UTC,80613,USDT,16597709.067817982
2023-02-09 00:00:00.000 UTC,1915821,USDC,884205892.1401006
2023-02-10 00:00:00.000 UTC,1602423,USDC,673648330.1370087
2023-02-10 00:00:00.000 UTC,94067,USDT,15025988.237448024
2023-02-11 00:00:00.000 UTC,37458,USDT,10836860.862579018
2023-02-11 00:00:00.000 UTC,1024872,USDC,400902809.1899578
2023-02-12 00:00:00.000 UTC,1169387,USDC,522094454.45638454
2023-02-12 00:00:00.000 UTC,51607,USDT,10828340.730454009
2023-02-13 00:00:00.000 UTC,1546933,USDC,753578256.8332491
2023-02-13 00:00:00.000 UTC,136105,USDT,32953621.198786754
2023-02-14 00:00:00.000 UTC,99496,USDT,18892988.76517199
2023-02-14 00:00:00.000 UTC,1604136,USDC,1280871723.3020167
2023-02-15 00:00:00.000 UTC,67297,USDT,15396082.040125994
2023-02-15 00:00:00.000 UTC,1563031,USDC,1853096757.0819042
2023-02-16 00:00:00.000 UTC,81121,USDT,20928854.315644
2023-02-16 00:00:00.000 UTC,2013829,USDC,1581315519.883515
2023-02-17 00:00:00.000 UTC,2207403,USDC,1083259374.5019643
2023-02-17 00:00:00.000 UTC,59529,USDT,30320503.967579007
2023-02-18 00:00:00.000 UTC,2867778,USDC,695065504.1798675
2023-02-18 00:00:00.000 UTC,64657,USDT,24766482.964741014
2023-02-19 00:00:00.000 UTC,99745,USDT,21793543.530105993
2023-02-19 00:00:00.000 UTC,2206382,USDC,520407537.0697372
2023-02-20 00:00:00.000 UTC,2206324,USDC,677637257.0840046
2023-02-20 00:00:00.000 UTC,112773,USDT,24057769.782394014
2023-02-21 00:00:00.000 UTC,84241,USDT,21550233.597856004
2023-02-21 00:00:00.000 UTC,2110450,USDC,611962547.8429965
2023-02-22 00:00:00.000 UTC,2040857,USDC,1226148541.8937054
2023-02-22 00:00:00.000 UTC,88351,USDT,18390986.850765027
2023-02-23 00:00:00.000 UTC,1834036,USDC,1362769432.900528
2023-02-23 00:00:00.000 UTC,66246,USDT,15593010.374399962
2023-02-24 00:00:00.000 UTC,78424,USDT,17902527.325413037
2023-02-24 00:00:00.000 UTC,1826885,USDC,1457824988.216602
2023-02-25 00:00:00.000 UTC,369411,USDC,105955583.53871071
2023-02-25 00:00:00.000 UTC,14478,USDT,3579098.567900997
2023-02-26 00:00:00.000 UTC,44659,USDT,8354847.86940499
2023-02-26 00:00:00.000 UTC,1367874,USDC,405822632.96065867
2023-02-27 00:00:00.000 UTC,1802237,USDC,693907756.4343511
2023-02-27 00:00:00.000 UTC,45316,USDT,18217350.013278995
2023-02-28 00:00:00.000 UTC,1763385,USDC,528846595.255926
2023-02-28 00:00:00.000 UTC,55725,USDT,17592297.60020299
2023-03-01 00:00:00.000 UTC,46125,USDT,15485014.608191997
2023-03-01 00:00:00.000 UTC,1573133,USDC,516520393.45686287
2023-03-02 00:00:00.000 UTC,52566,USDT,15747431.288813991
2023-03-02 00:00:00.000 UTC,1510089,USDC,423073452.69999444
2023-03-03 00:00:00.000 UTC,1768673,USDC,526100281.00310266
2023-03-03 00:00:00.000 UTC,54370,USDT,20028144.390108
2023-03-04 00:00:00.000 UTC,1321000,USDC,342129073.05575675
2023-03-04 00:00:00.000 UTC,38640,USDT,11181022.70713599
2023-03-05 00:00:00.000 UTC,42890,USDT,9036477.784148017
2023-03-05 00:00:00.000 UTC,1436919,USDC,426786856.4976701
