entity,month,n_transfers,tier,volume_usd,token,volume_raw,data_source
SunSwap,2025-10-01,0,3,27409158426.88,USDT,2.7409158426879696e+16,artemis_attributed
Tether,2024-11-01 00:00:00.000 UTC,631732,2,26018240102.93737,,,
SunSwap,2025-12-01,0,3,25329931363.53,USDT,2.532993136353231e+16,artemis_attributed
SunSwap,2025-11-01,0,3,24714741151.93,USDT,2.4714741151932948e+16,artemis_attributed
SunSwap,2025-07-01,0,3,24661778899.21,USDT,2.4661778899209084e+16,artemis_attributed
SunSwap,2026-01-01,0,3,24175949511.6,USDT,2.417594951160089e+16,artemis_attributed
SunSwap,2025-05-01,0,3,24073013240.9,USDT,2.407301324089825e+16,artemis_attributed
SunSwap,2025-09-01,0,3,23729924815.7,USDT,2.372992481570449e+16,artemis_attributed
SunSwap,2025-08-01,0,3,23342408703.37,USDT,2.334240870336824e+16,artemis_attributed
SunSwap,2025-06-01,0,3,22560827005.61,USDT,2.256082700560548e+16,artemis_attributed
SunSwap,2025-04-01,0,3,22053513742.09,USDT,2.2053513742090708e+16,artemis_attributed
SunSwap,2024-12-01,0,3,22039006609.81,USDT,2.203900660980925e+16,artemis_attributed
Tether,2023-03-01 00:00:00.000 UTC,772979,2,21602023907.481068,,,
SunSwap,2025-03-01,0,3,21393244184.9,USDT,2.139324418490217e+16,artemis_attributed
SunSwap,2024-11-01,0,3,20752613261.41,USDT,2.0752613261405824e+16,artemis_attributed
SunSwap,2025-01-01,0,3,20536582411.29,USDT,2.05365824112875e+16,artemis_attributed
SunSwap,2025-02-01,0,3,20051703605.5,USDT,2.0051703605502296e+16,artemis_attributed
Tether,2025-09-01 00:00:00.000 UTC,607694,2,19854815990.856247,,,
Tether,2025-08-01 00:00:00.000 UTC,599778,2,18859107503.043327,,,
Tether,2025-05-01 00:00:00.000 UTC,609203,2,18216459884.903152,,,
Tether,2024-04-01 00:00:00.000 UTC,876882,2,17856135978.933586,,,
SunSwap,2024-10-01,0,3,17465254882.49,USDT,1.7465254882492066e+16,artemis_attributed
Tether,2024-03-01 00:00:00.000 UTC,1072002,2,17462514348.633488,,,
SunSwap,2024-08-01,0,3,16270872319.13,USDT,1.6270872319131392e+16,artemis_attributed
SunSwap,2024-03-01,0,3,16115107691.98,USDT,1.611510769198421e+16,artemis_attributed
Tether,2025-07-01 00:00:00.000 UTC,608406,2,16040407000.662748,,,
Tether,2025-04-01 00:00:00.000 UTC,586321,2,15979825403.806364,,,
SunSwap,2024-04-01,0,3,15713328793.12,USDT,1.5713328793119226e+16,artemis_attributed
SunSwap,2024-07-01,0,3,15687759070.53,USDT,1.5687759070530774e+16,artemis_attributed
Tether,2025-02-01 00:00:00.000 UTC,507391,2,15271255282.51739,,,
SunSwap,2024-09-01,0,3,15156023923.31,USDT,1.5156023923311578e+16,artemis_attributed
Tether,2024-01-01 00:00:00.000 UTC,792109,2,14833214849.183071,,,
SunSwap,2024-06-01,0,3,14561291542.44,USDT,1.456129154244122e+16,artemis_attributed
Tether,2024-12-01 00:00:00.000 UTC,619922,2,14359390918.2111,,,
SunSwap,2024-05-01,0,3,14317110467.68,USDT,1.4317110467681462e+16,artemis_attributed
Tether,2025-12-01 00:00:00.000 UTC,650892,2,14105297136.988972,,,
Tether,2025-10-01 00:00:00.000 UTC,660033,2,13938435095.31775,,,
SunSwap,2024-01-01,0,3,13511281024.31,USDT,1.3511281024307118e+16,artemis_attributed
Tether,2025-06-01 00:00:00.000 UTC,582321,2,13156852155.40387,,,
Tether,2023-06-01 00:00:00.000 UTC,707947,2,13037339075.840897,,,
Binance,2025-08-01 00:00:00.000 UTC,16,2,12958701022.347237,,,
Tether,2024-08-01 00:00:00.000 UTC,856301,2,12861319417.250996,,,
SunSwap,2023-12-01,0,3,12847561841.4,USDT,1.284756184139911e+16,artemis_attributed
Tether,2025-03-01 00:00:00.000 UTC,593412,2,12615110806.635183,,,
Tether,2026-01-01 00:00:00.000 UTC,648950,2,12602897312.279757,,,
SunSwap,2023-03-01,0,3,12503639922.67,USDT,1.2503639922668178e+16,artemis_attributed
SunSwap,2023-11-01,0,3,12311367803.59,USDT,1.2311367803594802e+16,artemis_attributed
SunSwap,2023-06-01,0,3,12305564881.29,USDT,1.2305564881289264e+16,artemis_attributed
Tether,2023-11-01 00:00:00.000 UTC,800345,2,12229443494.839329,,,
SunSwap,2023-08-01,0,3,12159996907.2,USDT,1.2159996907203988e+16,artemis_attributed
SunSwap,2024-02-01,0,3,12158504868.52,USDT,1.2158504868516116e+16,artemis_attributed
Tether,2025-01-01 00:00:00.000 UTC,569176,2,12035093167.335066,,,
SunSwap,2023-05-01,0,3,12006759080.69,USDT,1.2006759080694726e+16,artemis_attributed
Tether,2025-11-01 00:00:00.000 UTC,631159,2,11941466393.105322,,,
SunSwap,2023-10-01,0,3,11804980094.15,USDT,1.1804980094150442e+16,artemis_attributed
SunSwap,2023-09-01,0,3,11798213649.45,USDT,1.179821364945302e+16,artemis_attributed
Tether,2023-02-01 00:00:00.000 UTC,643268,2,11561368982.195326,,,
SunSwap,2023-07-01,0,3,11536621554.11,USDT,1.1536621554111058e+16,artemis_attributed
Tether,2024-07-01 00:00:00.000 UTC,936868,2,11489524631.27253,,,
