day,n_transfers,volume_usd
2023-02-01 00:00:00.000 UTC,2264033,9152312111.545815
2023-02-02 00:00:00.000 UTC,2479862,10255244596.182903
2023-02-03 00:00:00.000 UTC,2232631,9240230992.493328
2023-02-04 00:00:00.000 UTC,2138825,5962239501.724177
2023-02-05 00:00:00.000 UTC,1885397,4804762869.627802
2023-02-06 00:00:00.000 UTC,1914094,9817751613.581371
2023-02-07 00:00:00.000 UTC,1836229,9157770854.739975
2023-02-08 00:00:00.000 UTC,1937475,8901064636.237406
2023-02-09 00:00:00.000 UTC,1881875,9765138447.378468
2023-02-10 00:00:00.000 UTC,1741566,9169515366.859869
2023-02-11 00:00:00.000 UTC,1756980,6288652383.054506
2023-02-12 00:00:00.000 UTC,1395947,4657043242.127187
2023-02-13 00:00:00.000 UTC,1773250,16979829011.655434
2023-02-14 00:00:00.000 UTC,1705299,12132206592.069563
2023-02-15 00:00:00.000 UTC,1740642,11364882030.45328
2023-02-16 00:00:00.000 UTC,1806074,11686244086.715322
2023-02-17 00:00:00.000 UTC,1857452,10150183182.294617
2023-02-18 00:00:00.000 UTC,1668238,6257089432.855699
2023-02-19 00:00:00.000 UTC,1599221,5431242374.987229
2023-02-20 00:00:00.000 UTC,2002894,9843853134.547024
2023-02-21 00:00:00.000 UTC,1911757,10030185529.146816
2023-02-22 00:00:00.000 UTC,1834382,11711222354.648817
2023-02-23 00:00:00.000 UTC,1902900,8989883441.562119
2023-02-24 00:00:00.000 UTC,1831257,9382466747.482536
2023-02-25 00:00:00.000 UTC,1616130,5836866119.0047035
2023-02-26 00:00:00.000 UTC,1534267,4666683719.884064
2023-02-27 00:00:00.000 UTC,1905496,10085834740.455757
2023-02-28 00:00:00.000 UTC,1886330,9724775365.721718
2023-03-01 00:00:00.000 UTC,1930188,9843610883.937048
2023-03-02 00:00:00.000 UTC,1831701,9351623017.907478
2023-03-03 00:00:00.000 UTC,1804163,13490055318.017157
2023-03-04 00:00:00.000 UTC,1583844,7364554759.061298
2023-03-05 00:00:00.000 UTC,1501470,5295777795.252204
2023-03-06 00:00:00.000 UTC,1852518,9551095669.987614
2023-03-07 00:00:00.000 UTC,1867745,10335107607.624407
2023-03-08 00:00:00.000 UTC,1843719,8568135855.389578
2023-03-09 00:00:00.000 UTC,1937477,10386517752.026438
2023-03-10 00:00:00.000 UTC,1982277,11202058351.880358
2023-03-11 00:00:00.000 UTC,1656291,9825626595.179373
2023-03-12 00:00:00.000 UTC,1460885,7307079664.2295065
2023-03-13 00:00:00.000 UTC,1975505,12425224114.89361
2023-03-14 00:00:00.000 UTC,1898627,13963026093.9517
2023-03-15 00:00:00.000 UTC,1888693,13003723336.027882
2023-03-16 00:00:00.000 UTC,1833999,12195539467.434923
2023-03-17 00:00:00.000 UTC,1891765,14439995750.957832
2023-03-18 00:00:00.000 UTC,1649349,6978301384.442485
2023-03-19 00:00:00.000 UTC,1538489,5727506520.235011
2023-03-20 00:00:00.000 UTC,2027880,15215295798.49169
2023-03-21 00:00:00.000 UTC,1883012,16047098521.01423
2023-03-22 00:00:00.000 UTC,1917208,11965723938.396667
2023-03-23 00:00:00.000 UTC,1999473,14795110101.287373
2023-03-24 00:00:00.000 UTC,1887598,11343307885.596798
2023-03-25 00:00:00.000 UTC,1657475,6986161509.038737
2023-03-26 00:00:00.000 UTC,1567260,4992954401.246315
2023-03-27 00:00:00.000 UTC,2090663,11917032941.862844
2023-03-28 00:00:00.000 UTC,2087713,10003175330.840988
2023-03-29 00:00:00.000 UTC,2078089,10298518225.769192
2023-03-30 00:00:00.000 UTC,2016506,10531270933.778973
2023-03-31 00:00:00.000 UTC,2036077,10371020245.757954
2023-04-01 00:00:00.000 UTC,1759965,6418606505.371848
