,USDT_mcap,USDC_mcap,DAI_mcap,USDS_mcap,USDe_mcap,PYUSD_mcap,USDD_mcap,BUSD_mcap,USD0_mcap,USD1_mcap,BUIDL_mcap,RLUSD_mcap,USDf_mcap,USYC_mcap,USDG_mcap,USDY_mcap,GHO_mcap,USDTB_mcap,total_supply
2019-01-01,25104324.0,250087487.0,,,,,,,,,,,,,,,,,275191811.0
2019-01-02,25104324.0,257922895.0,,,,,,,,,,,,,,,,,283027219.0
2019-01-03,25104324.0,284161582.0,,,,,,,,,,,,,,,,,309265906.0
2019-01-04,25104324.0,286864670.0,,,,,,,,,,,,,,,,,311968994.0
2019-01-05,25104324.0,291244899.0,,,,,,,,,,,,,,,,,316349223.0
2019-01-06,25104324.0,291214025.0,,,,,,,,,,,,,,,,,316318349.0
2019-01-07,25104324.0,302341373.0,,,,,,,,,,,,,,,,,327445697.0
2019-01-08,25104324.0,314873964.0,,,,,,,,,,,,,,,,,339978288.0
2019-01-09,25104324.0,324564646.0,,,,,,,,,,,,,,,,,349668970.0
2019-01-10,25104324.0,342268109.0,,,,,,,,,,,,,,,,,367372433.0
2019-01-11,25104324.0,344833698.0,,,,,,,,,,,,,,,,,369938022.0
2019-01-12,25104324.0,351581975.0,,,,,,,,,,,,,,,,,376686299.0
2019-01-13,25104324.0,361028960.0,,,,,,,,,,,,,,,,,386133284.0
2019-01-14,25104324.0,368307846.0,,,,,,,,,,,,,,,,,393412170.0
2019-01-15,25104324.0,360989470.0,,,,,,,,,,,,,,,,,386093794.0
2019-01-16,25104324.0,356447480.0,,,,,,,,,,,,,,,,,381551804.0
2019-01-17,25104324.0,317569445.0,,,,,,,,,,,,,,,,,342673769.0
2019-01-18,25104324.0,313461185.0,,,,,,,,,,,,,,,,,338565509.0
2019-01-19,25104324.0,322154670.0,,,,,,,,,,,,,,,,,347258994.0
2019-01-20,25104324.0,322151552.0,,,,,,,,,,,,,,,,,347255876.0
